size,OMP-threads,time
10000,1,78.994483
10000,1,79.189544
10000,1,79.088486
10000,1,79.074597
10000,1,79.048881
10000,1,79.065856
10000,1,79.085016
10000,1,79.038946
10000,1,79.054006
10000,1,79.067854
10000,2,40.198821
10000,2,40.216313
10000,2,40.207598
10000,2,40.204648
10000,2,40.195593
10000,2,40.216544
10000,2,40.208002
10000,2,40.210813
10000,2,40.210639
10000,2,40.215937
10000,3,27.152337
10000,3,27.159865
10000,3,27.137326
10000,3,27.132850
10000,3,27.130302
10000,3,27.123348
10000,3,27.127637
10000,3,27.128294
10000,3,27.130337
10000,3,27.126536
10000,4,20.644906
10000,4,20.639000
10000,4,20.632242
10000,4,20.623221
10000,4,20.628350
10000,4,20.625635
10000,4,20.623298
10000,4,20.626456
10000,4,20.629254
10000,4,20.626448
10000,5,16.770340
10000,5,16.771920
10000,5,16.761677
10000,5,16.762747
10000,5,16.776509
10000,5,16.766338
10000,5,16.773144
10000,5,16.776222
10000,5,16.773993
10000,5,16.763006
10000,6,14.167372
10000,6,14.167856
10000,6,14.168162
10000,6,14.168805
10000,6,14.169712
10000,6,14.169729
10000,6,14.172486
10000,6,14.167650
10000,6,14.168736
10000,6,14.165915
10000,7,12.287548
10000,7,12.305050
10000,7,12.288490
10000,7,12.284531
10000,7,12.289367
10000,7,12.289653
10000,7,12.290129
10000,7,12.290199
10000,7,12.287938
10000,7,12.288555
10000,8,10.910724
10000,8,10.906991
10000,8,10.910449
10000,8,10.911825
10000,8,10.911956
10000,8,10.912304
10000,8,10.910681
10000,8,10.903772
10000,8,10.913131
10000,8,10.912599
10000,9,9.827432
10000,9,9.824230
10000,9,9.826756
10000,9,9.823234
10000,9,9.823554
10000,9,9.826057
10000,9,9.828518
10000,9,9.816618
10000,9,9.828165
10000,9,9.827675
10000,10,8.977210
10000,10,8.950948
10000,10,8.953251
10000,10,8.964335
10000,10,8.951036
10000,10,8.951618
10000,10,8.958732
10000,10,8.953383
10000,10,8.954596
10000,10,8.953573
10000,11,8.245403
10000,11,8.246447
10000,11,8.248893
10000,11,8.244998
10000,11,8.244960
10000,11,8.248855
10000,11,8.247779
10000,11,8.247861
10000,11,8.245533
10000,11,8.247394
10000,12,7.653944
10000,12,7.651699
10000,12,7.649311
10000,12,7.653028
10000,12,7.677922
10000,12,7.652457
10000,12,7.645109
10000,12,7.650335
10000,12,7.650266
10000,12,7.643447
10000,13,7.153088
10000,13,7.155860
10000,13,7.158638
10000,13,7.152177
10000,13,7.157934
10000,13,7.154431
10000,13,7.155297
10000,13,7.158022
10000,13,7.153111
10000,13,7.154241
10000,14,6.733516
10000,14,6.726132
10000,14,6.735355
10000,14,6.733535
10000,14,6.728009
10000,14,6.730936
10000,14,6.731460
10000,14,6.740759
10000,14,6.795005
10000,14,6.734705
10000,15,6.344998
10000,15,6.354148
10000,15,6.353225
10000,15,6.348150
10000,15,6.348253
10000,15,6.351942
10000,15,6.351020
10000,15,6.350483
10000,15,6.351567
10000,15,6.342800
10000,16,6.037099
10000,16,6.028828
10000,16,6.141096
10000,16,6.032484
10000,16,6.033345
10000,16,6.136832
10000,16,6.028827
10000,16,6.032191
10000,16,6.135315
10000,16,6.034675
10000,17,5.770983
10000,17,5.777114
10000,17,5.802306
10000,17,5.754233
10000,17,5.752326
