size,OMP-threads,time
5000,1,20.142260
5000,1,20.173055
5000,1,20.156624
5000,1,20.162402
5000,1,20.155628
5000,1,20.165699
5000,1,20.156605
5000,1,20.162914
5000,1,20.159716
5000,1,20.163179
5000,2,10.655806
5000,2,10.657272
5000,2,10.658793
5000,2,10.662875
5000,2,10.671099
5000,2,10.657322
5000,2,10.657107
5000,2,10.658111
5000,2,10.656220
5000,2,10.656967
5000,3,7.460248
5000,3,7.460962
5000,3,7.459735
5000,3,7.460328
5000,3,7.458474
5000,3,7.457529
5000,3,7.461053
5000,3,7.459803
5000,3,7.472576
5000,3,7.456801
5000,4,5.887709
5000,4,5.861160
5000,4,5.862318
5000,4,5.861007
5000,4,5.861147
5000,4,5.862438
5000,4,5.871082
5000,4,5.870263
5000,4,5.860931
5000,4,5.862677
5000,5,4.907017
5000,5,4.908912
5000,5,4.906729
5000,5,4.907014
5000,5,4.907722
5000,5,4.909923
5000,5,4.909387
5000,5,4.921633
5000,5,4.909871
5000,5,4.906841
5000,6,4.267241
5000,6,4.268398
5000,6,4.286377
5000,6,4.273060
5000,6,4.269161
5000,6,4.279711
5000,6,4.266862
5000,6,4.286397
5000,6,4.267307
5000,6,4.268714
5000,7,3.813264
5000,7,3.822965
5000,7,3.813141
5000,7,3.814203
5000,7,3.814430
5000,7,3.815638
5000,7,3.813244
5000,7,3.816289
5000,7,3.815402
5000,7,3.812010
5000,8,3.470514
5000,8,3.477959
5000,8,3.488853
5000,8,3.492000
5000,8,3.476412
5000,8,3.469717
5000,8,3.470652
5000,8,3.491906
5000,8,3.469536
5000,8,3.479679
5000,9,3.208936
5000,9,3.203154
5000,9,3.217617
5000,9,3.202281
5000,9,3.202501
5000,9,3.202204
5000,9,3.203448
5000,9,3.213243
5000,9,3.202416
5000,9,3.203249
5000,10,2.990612
5000,10,2.990949
5000,10,3.000155
5000,10,2.990599
5000,10,2.991158
5000,10,2.990483
5000,10,2.989681
5000,10,2.993289
5000,10,2.991203
5000,10,2.994575
5000,11,2.824489
5000,11,2.814642
5000,11,2.828884
5000,11,2.814672
5000,11,2.814928
5000,11,2.814186
5000,11,2.815483
5000,11,2.833693
5000,11,2.814989
5000,11,2.818197
5000,12,2.669278
5000,12,2.679466
5000,12,2.669548
5000,12,2.678227
5000,12,2.673004
5000,12,2.669523
5000,12,2.668893
5000,12,2.713034
5000,12,2.668556
5000,12,2.678768
5000,13,2.585513
5000,13,2.548073
5000,13,2.547774
5000,13,2.547209
5000,13,2.548063
5000,13,2.547411
5000,13,2.547682
5000,13,2.546844
5000,13,2.557563
5000,13,2.547654
5000,14,2.443676
5000,14,2.441591
5000,14,2.442401
5000,14,2.441908
5000,14,2.442621
5000,14,2.453559
5000,14,2.442228
5000,14,2.448082
5000,14,2.458775
5000,14,2.443546
5000,15,2.351473
5000,15,2.361228
5000,15,2.351853
5000,15,2.363461
5000,15,2.365504
5000,15,2.361193
5000,15,2.351531
5000,15,2.351487
5000,15,2.351288
5000,15,2.350702
5000,16,2.271597
5000,16,2.286408
5000,16,2.286366
5000,16,2.271940
5000,16,2.286471
5000,16,2.288357
5000,16,2.272494
5000,16,2.272760
5000,16,2.283220
5000,16,2.272485
5000,17,2.211382
5000,17,2.203642
5000,17,2.224038
5000,17,2.216655
5000,17,2.202286
5000,17,2.216283
5000,17,2.211244
5000,17,2.203759
5000,17,2.203616
5000,17,2.203157
5000,18,2.143605
5000,18,2.141983
5000,18,2.149978
5000,18,2.139147
5000,18,2.138946
5000,18,2.151605
5000,18,2.139506
5000,18,2.139013
5000,18,2.139083
5000,18,2.156921
5000,19,2.083404
5000,19,2.085949
5000,19,2.093713
5000,19,2.094326
5000,19,2.093076
5000,19,2.083749
5000,19,2.084038
5000,19,2.397589
5000,19,2.084519
5000,19,2.106535
5000,20,2.033092
5000,20,2.033331
5000,20,2.063911
5000,20,2.038102
5000,20,2.032547
5000,20,2.032489
5000,20,2.043350
5000,20,2.043611
5000,20,2.063301
5000,20,2.192185
5000,21,1.988519
5000,21,1.988073
5000,21,1.987530
5000,21,2.024310
5000,21,1.987447
5000,21,1.989346
5000,21,1.989263
5000,21,1.987761
5000,21,1.988153
5000,21,1.999355
5000,22,1.968147
5000,22,1.946795
5000,22,1.947501
5000,22,1.947309
5000,22,1.946477
5000,22,1.947391
5000,22,1.974700
5000,22,1.957428
5000,22,1.946684
5000,22,1.946589
5000,23,1.907394
5000,23,1.934388
5000,23,1.907588
5000,23,1.906939
5000,23,1.940331
5000,23,1.907574
5000,23,1.906710
5000,23,1.907562
5000,23,1.907941
5000,23,1.911069
5000,24,1.886595
5000,24,1.893142
5000,24,1.896681
5000,24,1.917136
5000,24,1.873576
5000,24,1.887632
5000,24,1.875598
5000,24,1.873861
5000,24,1.883210
5000,24,1.900023
5000,25,1.852471
5000,25,1.843800
5000,25,1.841544
