size,cores,time
5000,1,20.399022
5000,1,20.409603
5000,1,20.423519
5000,1,20.423592
5000,1,20.424392
5000,2,20.435633
5000,2,20.419090
5000,2,20.424081
5000,2,20.429660
5000,2,20.445678
5000,3,20.422342
5000,3,20.426600
5000,3,20.434314
5000,3,20.421319
5000,3,20.418643
5000,4,20.445454
5000,4,20.443094
5000,4,20.455791
5000,4,20.452424
5000,4,20.430722
5000,5,20.437964
5000,5,20.458167
5000,5,20.436187
5000,5,20.420523
5000,5,20.436613
5000,6,20.444249
5000,6,20.459430
5000,6,20.405602
5000,6,20.412626
5000,6,20.421156
5000,7,20.453623
5000,7,20.439915
5000,7,20.477327
5000,7,20.470613
5000,7,20.474303
5000,8,20.486460
5000,8,20.496065
5000,8,20.493719
5000,8,20.457889
5000,8,20.503879
5000,9,20.535262
5000,9,20.515917
5000,9,20.515439
5000,9,20.547831
5000,9,20.502008
5000,10,20.517928
5000,10,20.542268
5000,10,20.488216
5000,10,20.472862
5000,10,20.447613
5000,11,20.557926
5000,11,20.535251
5000,11,20.521357
5000,11,20.483632
5000,11,20.521139
5000,12,20.531063
5000,12,20.538974
5000,12,20.578396
5000,12,20.510696
5000,12,20.620514
5000,13,20.571330
5000,13,20.606719
5000,13,20.605722
5000,13,20.528136
5000,13,20.598584
5000,14,20.632534
5000,14,20.569972
5000,14,20.506689
5000,14,20.617241
5000,14,20.515699
5000,15,20.639542
5000,15,20.634698
5000,15,20.629309
5000,15,20.540316
5000,15,20.595639
5000,16,20.592720
5000,16,20.642375
5000,16,20.616047
5000,16,20.451286
5000,16,20.612587
5000,17,20.648345
5000,17,20.637702
5000,17,20.669177
5000,17,20.686650
5000,17,20.646310
5000,18,20.698669
5000,18,20.633840
5000,18,20.683546
5000,18,20.699438
5000,18,20.665225
5000,19,20.719255
5000,19,20.721231
5000,19,20.703133
5000,19,20.631847
5000,19,20.642996
5000,20,20.723830
5000,20,20.687389
5000,20,20.767820
5000,20,20.666092
5000,20,20.543853
5000,21,20.726187
5000,21,20.751030
5000,21,20.636236
5000,21,20.569887
5000,21,20.774980
5000,22,20.829767
5000,22,20.704112
5000,22,20.530528
5000,22,20.772514
5000,22,20.744399
5000,23,20.705235
5000,23,20.773037
5000,23,20.748106
5000,23,20.723988
5000,23,20.813202
5000,24,20.702761
5000,24,20.858680
5000,24,20.675688
5000,24,20.780230
5000,24,20.823964
5000,25,20.817878
5000,25,20.793875
5000,25,20.790030
5000,25,20.638101
5000,25,20.778094
5000,26,20.714804
5000,26,20.857809
5000,26,20.760026
5000,26,20.856403
5000,26,20.722791
5000,27,20.835727
5000,27,20.869012
5000,27,20.748673
