size,cores,time
10000,1,78.118104
10000,1,78.265333
10000,1,78.226743
10000,1,78.215231
10000,1,78.200437
10000,2,38.761962
10000,2,38.749842
10000,2,38.761419
10000,2,38.752584
10000,2,38.758710
10000,3,25.949908
10000,3,25.922363
10000,3,25.917562
10000,3,25.918272
10000,3,25.915324
10000,4,19.619805
10000,4,19.610147
10000,4,19.597266
10000,4,19.612187
10000,4,19.604764
10000,5,15.875556
10000,5,15.868869
10000,5,15.868484
10000,5,15.880911
10000,5,15.878279
10000,6,13.502482
10000,6,13.490958
10000,6,13.498228
10000,6,13.507381
10000,6,13.496662
10000,7,11.676377
10000,7,11.690066
10000,7,11.683768
10000,7,11.715592
10000,7,11.720078
10000,8,10.781037
10000,8,10.773588
10000,8,10.772489
10000,8,10.783354
10000,8,10.785991
10000,9,9.741118
10000,9,9.759516
10000,9,9.747737
10000,9,9.741306
10000,9,9.750802
10000,10,8.988894
10000,10,8.983832
10000,10,8.984499
10000,10,8.989343
10000,10,8.982192
10000,11,8.399800
10000,11,8.402925
10000,11,8.401922
10000,11,8.413715
10000,11,8.423315
10000,12,7.958426
10000,12,7.962647
10000,12,7.975773
10000,12,7.972892
10000,12,7.977093
10000,13,7.574020
10000,13,7.575720
10000,13,7.578517
10000,13,7.671817
10000,13,7.575696
10000,14,7.251198
10000,14,7.272266
10000,14,7.272336
10000,14,7.233688
10000,14,7.266910
10000,15,7.087654
10000,15,7.094823
10000,15,7.084408
10000,15,7.090402
10000,15,7.092153
10000,16,6.161236
10000,16,6.171767
10000,16,6.138119
10000,16,6.161089
10000,16,6.234288
10000,17,5.969817
10000,17,5.885746
10000,17,5.870652
10000,17,5.862501
10000,17,5.924507
10000,18,5.636916
10000,18,5.633337
10000,18,5.641649
10000,18,5.640268
10000,18,5.641788
10000,19,5.405514
10000,19,5.394383
10000,19,5.407125
10000,19,5.413315
10000,19,5.497164
10000,20,5.165068
10000,20,5.187703
10000,20,5.262108
10000,20,5.195962
10000,20,5.180382
10000,21,5.096832
10000,21,5.012569
10000,21,5.017729
10000,21,5.099750
10000,21,5.000977
10000,22,4.834703
10000,22,4.938848
10000,22,4.800723
10000,22,4.824539
10000,22,4.897221
10000,23,4.657969
10000,23,4.651832
10000,23,4.732580
10000,23,4.664154
10000,23,4.659751
10000,24,4.504902
10000,24,4.492470
10000,24,4.495100
10000,24,4.508816
10000,24,4.605779
10000,25,4.351588
10000,25,4.335191
10000,25,4.368681
10000,25,4.354274
10000,25,4.366755
10000,26,4.246445
10000,26,4.329329
10000,26,4.245788
10000,26,4.248158
10000,26,4.334379
10000,27,4.132185
10000,27,4.126346
10000,27,4.200539
10000,27,4.116674
10000,27,4.121579
10000,28,4.012887
10000,28,4.013208
10000,28,4.020860
10000,28,4.034291
10000,28,4.128836
10000,29,3.923020
10000,29,3.922738
10000,29,4.029602
10000,29,3.909365
10000,29,3.917530
10000,30,3.838567
10000,30,3.832834
10000,30,3.826514
10000,30,3.824051
