n_cores,time
1,44.173976
1,43.727612
1,44.027072
1,43.973887
1,44.012245
1,43.802238
1,43.832911
1,43.966463
1,44.101580
1,43.631653
2,22.131309
2,22.106787
2,22.118614
2,22.159638
2,22.083541
2,21.966445
2,22.053289
2,22.046855
2,22.012842
2,22.087636
3,14.802907
3,14.737996
3,14.849888
3,14.759022
3,14.784148
3,14.795189
3,14.872731
3,14.748876
3,14.798269
3,14.781951
4,11.267279
4,11.198288
4,11.230460
4,11.184762
4,11.222350
4,11.262724
4,11.321107
4,11.222850
4,11.242628
4,11.204347
5,8.927721
5,8.969446
5,8.900321
5,8.973569
5,9.053653
5,8.936655
5,8.972921
5,8.977470
5,8.877290
5,8.941978
6,7.467157
6,7.429280
6,7.505732
6,7.455340
6,7.495628
6,7.461530
6,7.465646
6,7.474272
6,7.405325
6,7.446325
7,6.503405
7,6.460508
7,6.467726
7,6.465888
7,6.456679
7,6.437836
7,6.472111
7,6.484360
7,6.485873
7,6.480022
8,5.893473
8,5.882859
8,5.908097
8,5.909857
8,5.886858
8,5.906916
8,5.862581
8,5.831406
8,5.909127
8,5.897731
9,5.206135
9,5.197977
9,5.198064
9,5.205763
9,5.232860
9,5.185383
9,5.220678
9,5.210312
9,5.209369
9,5.220290
10,4.766444
10,4.731238
10,4.721243
10,4.733217
10,4.724685
10,4.757737
10,4.766328
10,4.729532
10,4.715135
10,4.739805
11,4.413575
11,4.409618
11,4.434551
11,4.420152
11,4.433609
11,4.445461
11,4.429237
11,4.429868
11,4.416983
11,4.420738
12,4.207286
12,4.189316
12,4.165723
12,4.177633
12,4.149366
12,4.167440
12,4.177210
12,4.197351
12,4.160305
12,4.180100
13,3.852097
13,3.850849
13,3.851060
13,3.836675
13,3.839740
13,3.845434
13,3.848264
13,3.854693
13,3.829538
13,3.846817
14,3.624858
14,3.609669
14,3.627043
14,3.655289
14,3.623666
14,3.628102
14,3.644340
14,3.618541
14,3.619887
14,3.651507
15,3.441310
15,3.421365
15,3.485402
15,3.454770
15,3.460095
15,3.424031
15,3.432465
15,3.428679
15,3.445094
15,3.471460
16,3.853503
16,3.869555
16,3.838343
16,3.855936
16,3.837171
16,3.865977
16,3.848225
16,3.843131
16,3.853759
16,3.828514
17,3.476707
17,3.448171
17,3.430977
17,3.489891
17,3.511252
17,3.528487
17,3.430280
17,3.450179
17,3.550174
17,3.529694
18,3.639741
18,3.623478
18,3.619734
18,3.622149
18,3.637579
18,3.611043
18,3.584452
18,3.598271
18,3.603025
18,3.619870
19,3.379330
19,3.378631
19,3.280759
19,3.303244
19,3.278046
19,3.397108
19,3.353865
19,3.337156
19,3.343420
19,3.293545
20,3.705730
20,3.690028
20,3.718728
20,3.708784
20,3.695729
20,3.690598
20,3.697716
20,3.695035
20,3.694608
20,3.698127
21,3.189813
21,3.183089
21,3.278619
21,3.277364
21,3.251824
21,3.258218
21,3.270122
21,3.261536
21,3.263731
21,3.279435
22,3.532669
22,3.503072
22,3.515561
22,3.495024
22,3.505458
22,3.502646
22,3.511655
22,3.515234
22,3.517663
22,3.509592
23,3.198750
23,3.223213
23,3.158200
23,3.187394
23,3.202389
23,3.142141
23,3.201326
23,3.184806
23,3.181229
23,3.180861
24,3.603922
24,3.610094
24,3.603404
24,3.605454
24,3.603934
24,3.603580
24,3.597965
24,3.588675
24,3.600107
24,3.600672
25,3.078549
25,3.020577
25,3.017490
25,3.125141
25,3.125801
25,3.064778
25,3.080561
25,3.016716
25,3.139437
25,3.017458
26,3.453134
26,3.454540
26,3.422106
26,3.418693
26,3.403309
26,3.426522
26,3.413730
26,3.415270
26,3.430519
26,3.428130
27,2.982272
27,3.068563
27,3.089757
27,3.018600
27,3.071352
27,3.125578
27,3.080829
27,3.086837
27,3.078661
27,3.040968
28,3.507988
28,3.514097
28,3.510613
28,3.506155
28,3.521030
28,3.530571
28,3.503572
28,3.502851
28,3.507704
28,3.510214
29,3.052750
29,3.066929
29,3.056889
29,3.041381
29,3.046913
29,2.993487
29,2.999746
29,3.021710
29,3.059926
29,2.987608
30,3.284930
30,3.287099
30,3.296319
30,3.329936
30,3.287797
30,3.278302
30,3.301023
30,3.315356
30,3.301658
30,3.278488
31,3.045865
31,2.945331
31,2.994382
31,2.992364
31,3.018041
31,2.968889
31,2.965998
31,2.965295
31,2.954772
31,2.928786
32,3.419438
32,3.402365
32,3.412659
32,3.416109
32,3.419084
32,3.418063
32,3.410791
32,3.428081
32,3.417210
32,3.400676
33,2.924465
33,2.954857
33,2.960877
33,2.997339
33,2.950415
33,2.933677
33,2.975938
33,2.943534
33,2.992451
33,2.950260
34,3.274852
34,3.273043
34,3.266790
34,3.266731
34,3.296219
34,3.271993
34,3.242244
34,3.263830
34,2.942850
34,3.246393
35,2.896265
35,2.878813
35,2.951372
35,2.911808
35,2.948394
35,2.948963
35,2.913512
35,2.920808
35,2.878924
35,2.936714
36,3.357408
36,3.354922
36,3.356548
36,3.355536
36,3.363712
36,3.370487
36,3.368742
36,3.366096
36,3.362637
36,3.366322
37,2.922723
37,2.881216
37,2.913269
37,2.930536
37,2.886477
37,2.910923
37,2.875293
37,2.845415
37,2.959251
37,2.965292
38,3.161329
38,3.169990
38,3.194156
38,3.190113
38,3.185999
38,3.182122
38,3.162076
38,3.145421
38,3.175705
38,3.167955
39,2.822107
39,2.874650
39,2.922621
39,2.907028
39,2.942757
39,2.926529
39,2.935643
39,2.851668
39,2.912209
39,2.903699
40,3.320453
40,3.357344
40,3.308749
40,3.307334
40,3.330441
40,3.315322
40,3.326377
40,3.316484
40,3.345633
40,3.354705
41,2.879025
41,2.870617
41,2.878504
41,2.859146
41,2.936675
41,2.886649
41,2.843971
41,2.858826
41,2.852139
41,2.892850
42,3.098337
42,3.113104
42,3.121142
42,3.098980
42,3.096865
42,3.080453
42,3.094728
42,3.071216
42,3.084218
42,3.070973
43,2.836049
43,2.942717
43,2.870555
43,2.904568
43,2.835367
43,2.865016
43,2.885060
43,2.832438
43,2.930905
43,2.851241
44,3.292300
44,3.288116
44,3.327847
44,3.293309
44,3.317945
44,3.323284
44,3.314726
44,3.326866
44,3.298733
44,3.309879
45,2.905983
45,2.827872
45,2.836243
45,2.912457
45,2.846384
45,2.806236
45,2.837495
45,2.875218
45,2.824779
45,2.831664
46,3.104203
46,3.048854
46,3.059040
46,3.055304
46,3.069271
46,3.054966
46,3.056165
46,3.067840
46,3.053953
46,3.111110
47,2.860301
47,2.883458
47,2.827826
47,2.838755
47,2.924467
47,2.936555
47,2.830372
47,2.888305
47,2.889661
47,2.821503
48,3.294162
48,3.312721
48,3.285614
48,3.337605
48,3.300219
48,3.311162
48,3.294106
48,3.315024
48,3.301748
48,3.307157
49,2.922466
49,2.840026
49,2.886114
49,2.868182
49,2.867011
49,2.888312
49,2.865103
49,2.891391
49,2.928568
49,2.870848
50,3.019276
50,3.027761
50,3.012400
50,3.033324
50,3.004699
50,3.009164
50,3.013596
50,3.014117
50,3.008686
50,3.009612
51,2.867219
51,2.853524
51,2.928718
51,2.947128
51,2.941311
51,2.861870
51,2.948954
51,2.826248
51,2.884544
51,2.897338
52,3.367258
52,3.380757
52,3.374635
52,3.357822
52,3.357556
52,3.401598
52,3.360058
52,3.395943
52,3.381296
52,3.351207
53,2.908078
53,2.926280
53,2.932169
53,3.013430
53,2.946416
53,2.996781
53,2.952171
53,2.992781
53,2.923351
53,2.988291
54,3.117005
54,3.127489
54,3.107790
54,3.139136
54,3.121528
54,3.116774
54,3.125055
54,3.094383
54,3.089880
54,3.128107
55,3.070249
55,3.036316
55,3.065481
55,3.014199
55,3.004599
55,3.034212
55,3.061801
55,3.001985
55,3.027867
55,3.021414
56,3.508284
56,3.530350
56,3.516845
56,3.544635
56,3.530259
56,3.540059
56,3.520151
56,3.532789
56,3.550293
56,3.564935
57,3.017170
57,2.975293
57,2.971392
57,3.079409
57,2.971658
57,2.969232
57,2.958790
57,2.978443
57,3.027337
57,3.038835
58,3.087799
58,3.074838
58,3.106159
58,3.034608
58,3.042464
58,3.086629
58,3.047640
58,3.072202
58,3.044640
58,3.090716
59,3.037078
59,2.994210
59,2.994995
59,3.013358
59,3.020402
59,3.008913
59,3.003427
59,2.931836
59,2.996062
59,2.971499
60,3.472414
60,3.491406
60,3.488662
60,3.481973
60,3.494839
60,3.503564
60,3.487622
60,3.490561
60,3.503150
60,3.488972
61,3.090918
61,3.035257
61,3.015275
61,2.998791
61,2.983324
61,2.982793
61,3.004024
61,2.962116
61,2.955319
61,2.957593
62,3.026766
62,3.062973
62,3.078609
62,3.148343
62,3.169103
62,3.021494
62,3.073903
62,3.194549
62,3.061710
62,3.065586
63,3.014530
63,3.070377
63,3.093075
63,3.112327
63,2.954417
63,3.075935
63,3.008737
63,3.021429
63,2.991450
63,3.099131
64,3.407304
64,3.401791
64,3.406327
64,3.425739
64,3.416305
64,3.396075
64,3.418306
64,3.402958
64,3.401001
64,3.412477
