n_cores,time
1,43.531838
1,43.405131
1,43.704046
1,43.925525
1,43.673612
1,43.696447
1,43.298773
1,43.662150
1,43.448992
1,43.712740
2,23.343677
2,23.441347
2,23.326325
2,23.163520
2,23.515529
2,23.415698
2,23.490959
2,23.445203
2,23.512556
2,23.473106
3,15.527408
3,15.557506
3,15.413226
3,15.549053
3,15.441104
3,15.489213
3,15.488487
3,15.588486
3,15.524787
3,15.453192
4,11.790281
4,11.935075
4,11.863901
4,11.870787
4,11.858369
4,11.836206
4,11.817213
4,11.807618
4,11.816935
4,11.847665
5,9.017613
5,9.075892
5,9.028377
5,9.070245
5,9.053684
5,9.055859
5,9.070523
5,9.086296
5,9.025200
5,9.040161
6,7.785751
6,7.747098
6,7.776605
6,7.742446
6,7.720815
6,7.758724
6,7.810724
6,7.788871
6,7.778310
6,7.795525
7,6.615736
7,6.592537
7,6.586953
7,6.581095
7,6.577874
7,6.585119
7,6.585771
7,6.593797
7,6.601090
7,6.545836
8,5.922680
8,5.893520
8,5.896254
8,5.911665
8,5.885590
8,5.887142
8,5.892651
8,5.924943
8,5.904285
8,5.904151
9,5.121857
9,5.144756
9,5.130144
9,5.170111
9,5.160978
9,5.147509
9,5.142090
9,5.174658
9,5.110748
9,5.144375
10,4.744881
10,4.719537
10,4.725801
10,4.746923
10,4.714775
10,4.708176
10,4.733527
10,4.741045
10,4.723667
10,4.743567
11,4.297334
11,4.304509
11,4.300834
11,4.291146
11,4.315921
11,4.291218
11,4.257243
11,4.292709
11,4.301539
11,4.308531
12,4.124952
12,4.120430
12,4.124296
12,4.117783
12,4.137975
12,4.131871
12,4.108539
12,4.127123
12,4.131166
12,4.127931
13,3.728973
13,3.718141
13,3.701606
13,3.715170
13,3.718998
13,3.764631
13,3.689612
13,3.729354
13,3.753459
13,3.739955
14,3.485491
14,3.498040
14,3.472678
14,3.494137
14,3.480665
14,3.438940
14,3.454995
14,3.442949
14,3.486826
14,3.431676
15,3.332455
15,3.309213
15,3.314402
15,3.344040
15,3.353516
15,3.326461
15,3.355254
15,3.333355
15,3.325516
15,3.334544
16,3.541567
16,3.514392
16,3.529803
16,3.520053
16,3.528701
16,3.541341
16,3.388434
16,3.509758
16,3.501208
16,3.525125
17,3.298359
17,3.252720
17,3.216072
17,3.320348
17,3.282121
17,3.300770
17,3.269205
17,3.303987
17,3.321737
17,3.333313
18,3.193602
18,3.191197
18,3.166850
18,3.194518
18,3.202102
18,3.184365
18,3.170856
18,3.187447
18,3.179237
18,3.182333
19,3.144403
19,3.209296
19,3.218684
19,3.136567
19,3.211353
19,3.172077
19,3.231994
19,3.183819
19,3.063603
19,3.177300
20,3.530184
20,3.543636
20,3.182489
20,3.504915
20,3.527121
20,3.508514
20,3.519395
20,3.546394
20,3.509248
20,3.542738
21,3.391541
21,3.323783
21,3.368879
21,3.353810
21,3.395222
21,3.373882
21,3.352600
21,3.346069
21,3.390958
21,3.383355
22,3.228566
22,3.223481
22,3.256847
22,2.937496
22,3.249182
22,3.264113
22,3.229319
22,3.206862
22,3.227372
22,3.232989
23,3.340970
23,3.375836
23,3.308318
23,3.388736
23,3.315934
23,3.304109
23,3.303777
23,3.370065
23,3.311229
23,3.339759
24,3.417779
24,3.414272
24,3.414444
24,3.414834
24,3.419775
24,3.416460
24,3.415571
24,3.410348
24,3.418396
24,3.403163
25,3.461952
25,2.935950
25,3.372095
25,3.387264
25,3.483300
25,3.392889
25,3.428481
25,3.414015
25,3.423199
25,3.401068
26,3.405964
26,3.451619
26,3.431384
26,3.427236
26,3.429020
26,3.425673
26,3.552910
26,3.433716
26,3.454771
26,3.455003
27,3.494883
27,3.505975
27,3.500357
27,3.493730
27,3.466097
27,3.516185
27,3.466736
27,3.768429
27,3.481654
27,3.519403
28,3.434897
28,3.417372
28,3.422205
28,3.415004
28,3.419908
28,3.422663
28,3.407667
28,3.426518
28,3.416579
28,3.423718
29,3.429047
29,3.443186
29,3.449771
29,3.496970
29,3.439162
29,3.456967
29,3.532695
29,3.441552
29,3.430119
29,3.443619
30,3.286030
30,3.304136
30,3.266943
30,3.261083
30,3.258772
30,3.302313
30,3.265566
30,3.278985
30,3.351090
30,3.305364
31,3.444373
31,3.456627
31,3.442188
31,3.437405
31,3.436798
31,3.438478
31,3.431799
31,3.474073
31,3.463731
31,3.467696
32,3.378354
32,3.404711
32,3.379722
32,3.336396
32,3.346977
32,3.426732
32,3.356520
32,3.377118
32,3.356698
32,3.356812
33,3.437285
33,3.445319
33,3.411701
33,3.428233
33,3.409353
33,3.434441
33,3.416227
33,3.435580
33,3.439006
33,3.416455
34,3.183760
34,3.208057
34,3.224847
34,3.240333
34,3.244669
34,3.213457
34,3.196950
34,3.195705
34,3.222919
34,3.193876
35,3.445182
35,3.473085
35,3.507185
35,3.476233
35,3.462026
35,3.511034
35,3.466966
35,3.454305
35,3.457122
35,3.503975
36,3.448892
36,3.475070
36,3.546109
36,3.618664
36,3.471796
36,3.485537
36,3.428176
36,3.466135
36,3.487624
36,3.594754
37,3.468917
37,3.464340
37,3.470297
37,3.483814
37,3.452371
37,3.497395
37,3.471585
37,3.444512
37,3.465114
37,3.457293
38,3.353779
38,3.565455
38,3.386332
38,3.346587
38,3.495698
38,3.408747
38,3.394806
38,3.346862
38,3.348356
38,3.499983
39,3.492883
39,3.473729
39,3.469292
39,3.479616
39,3.502156
39,3.476345
39,3.460564
39,3.483629
39,3.485913
39,3.478772
40,3.292927
40,3.303923
40,3.431719
40,3.312588
40,3.352618
40,3.330053
40,3.312601
40,3.327588
40,3.397397
40,3.315662
41,3.482929
41,3.439263
41,3.409901
41,3.462432
41,3.420378
41,3.435564
41,3.440296
41,3.448084
41,3.434128
41,3.428617
42,3.329678
42,3.385261
42,3.467176
42,3.354529
42,3.333511
42,3.348909
42,3.337913
42,3.435784
42,3.307089
42,3.455828
43,3.460319
43,3.425129
43,3.457943
43,3.436559
43,3.461850
43,3.419061
43,3.444541
43,3.432637
43,3.473361
43,3.467231
44,3.284229
44,3.298550
44,3.262018
44,3.305868
44,3.323134
44,3.387969
44,3.366033
44,3.379067
44,3.333670
44,3.527359
45,3.457908
45,3.437540
45,3.437642
45,3.480028
45,3.446500
45,3.472578
45,3.466526
45,3.475413
45,3.444882
45,3.471946
46,3.414961
46,3.411451
46,3.394521
46,3.498948
46,3.317268
46,2.893646
46,3.569212
46,3.342084
46,3.334551
46,3.410649
47,3.434288
47,3.426786
47,3.474697
47,3.401030
47,3.493235
47,3.445721
47,3.454302
47,3.438106
47,3.441888
47,3.441794
48,3.406500
48,3.360220
48,3.384580
48,3.364972
48,3.359991
48,3.374214
48,3.360544
48,3.382446
48,3.389461
48,3.386665
49,3.456003
49,3.428245
49,3.442098
49,3.454396
49,3.469701
49,3.441771
49,3.451445
49,3.427063
49,3.434983
49,3.424855
50,3.507970
50,3.490936
50,3.546805
50,3.428421
50,3.394632
50,3.581892
50,3.480276
50,3.567280
50,3.420794
50,3.441732
51,3.582971
51,3.561514
51,3.550132
51,3.557431
51,3.620607
51,3.543518
51,3.539348
51,3.556642
51,3.707547
51,3.595011
52,3.481380
52,3.435650
52,3.446984
52,3.447808
52,3.419580
52,3.470839
52,3.394710
52,3.491232
52,3.479553
52,3.415247
53,3.514497
53,3.483471
53,3.504791
53,3.538828
53,3.551053
53,3.685398
53,3.500803
53,3.516467
53,3.500290
53,2.940513
54,3.470292
54,3.528273
54,3.570068
54,3.464637
54,3.538046
54,3.576660
54,3.569903
54,3.563072
54,3.543554
54,3.557754
55,3.538669
55,3.502320
55,3.492208
55,3.497751
55,3.583272
55,3.523669
55,3.477997
55,3.529716
55,3.487311
55,3.477855
56,3.438107
56,3.412419
56,3.443383
56,3.455034
56,3.454497
56,3.458979
56,3.423772
56,3.439164
56,3.425209
56,3.405091
57,3.523009
57,3.487955
57,3.517679
57,3.516653
57,3.692621
57,3.579375
57,3.701206
57,3.488454
57,3.504835
57,3.507192
58,3.513625
58,3.492860
58,3.473557
58,3.516457
58,3.555503
58,3.504973
58,3.556587
58,3.502592
58,3.565008
58,3.542375
59,3.509458
59,3.421767
59,3.560257
59,3.447304
59,3.463199
59,3.566343
59,3.467795
59,3.540892
59,3.453923
59,3.498472
60,3.352156
60,3.347547
60,3.350582
60,3.363575
60,3.396933
60,3.353023
60,3.364577
60,3.379076
60,3.396389
60,3.357305
61,3.483923
61,3.412683
61,3.408456
61,3.443545
61,3.535415
61,3.564621
61,3.646604
61,3.458982
61,3.567388
61,3.602036
62,3.561577
62,3.505883
62,3.536241
62,3.533923
62,3.627050
62,3.526086
62,3.453403
62,3.532333
62,3.494633
62,3.533561
63,3.466422
63,3.432689
63,3.457657
63,3.475494
63,3.422029
63,3.475581
63,3.457524
63,3.415669
63,3.516896
63,3.424829
64,3.369653
64,3.358056
64,3.341792
64,3.379984
64,3.376143
64,3.322113
64,3.426225
64,3.369310
64,3.381480
64,3.355255
