n_cores,time
1,31.674642
1,31.620277
1,31.796955
1,31.826174
1,31.901990
1,32.535178
1,31.878152
1,31.863624
1,32.398743
1,32.570755
2,16.703024
2,16.659500
2,16.605566
2,16.735633
2,16.581048
2,16.589025
2,16.616255
2,16.743867
2,16.408668
2,16.699493
3,16.545438
3,16.588883
3,16.376134
3,16.403275
3,16.626273
3,16.589057
3,16.535088
3,16.503260
3,16.372350
3,16.536539
4,11.192319
4,11.057375
4,11.196823
4,11.028948
4,11.070282
4,11.107022
4,11.109922
4,11.132102
4,11.120965
4,11.132248
5,8.367583
5,8.384957
5,8.441580
5,8.408089
5,8.397097
5,8.434439
5,8.375968
5,8.374681
5,8.377535
5,8.444303
6,5.710692
6,5.745990
6,5.778758
6,5.753741
6,5.773194
6,5.728009
6,5.742212
6,5.787675
6,5.717241
6,5.735149
7,5.753038
7,5.753691
7,5.724476
7,5.731863
7,5.689327
7,5.724550
7,5.708470
7,5.740252
7,5.748776
7,5.723578
8,4.382389
8,4.409587
8,4.353969
8,4.414936
8,4.406622
8,4.406992
8,4.412170
8,4.407397
8,4.422188
8,4.420311
9,4.420204
9,4.430407
9,4.425657
9,4.403617
9,4.415141
9,4.438911
9,4.425223
9,4.395894
9,4.438092
9,4.435377
10,3.995111
10,4.003968
10,4.002592
10,4.002819
10,3.969827
10,3.981252
10,4.000860
10,4.009198
10,3.983547
10,3.979007
11,3.596643
11,3.598814
11,3.616877
11,3.594965
11,3.587762
11,3.623547
11,3.558419
11,3.583249
11,3.622182
11,3.582030
12,3.209033
12,3.182991
12,3.249298
12,3.174146
12,3.171430
12,3.172792
12,3.216167
12,3.199957
12,3.168099
12,3.186716
13,3.211926
13,3.206981
13,3.189402
13,3.229009
13,3.198528
13,3.201110
13,3.207902
13,3.191924
13,3.205903
13,3.213933
14,2.779247
14,2.767696
14,2.784895
14,2.788912
14,2.749526
14,2.744506
14,2.786817
14,2.766657
14,2.782567
14,2.766779
15,2.654264
15,2.652273
15,2.648691
15,2.665618
15,2.658525
15,2.656383
15,2.637456
15,2.649987
15,2.649472
15,2.646580
16,2.671307
16,2.670441
16,2.628607
16,2.672302
16,2.648888
16,2.656479
16,2.666371
16,2.656539
16,2.669540
16,2.662729
17,2.557391
17,2.551951
17,2.564890
17,2.564388
17,2.548258
17,2.556447
17,2.542093
17,2.536977
17,2.542003
17,2.531222
18,2.281031
18,2.293334
18,2.287420
18,2.332521
18,2.300166
18,2.290538
18,2.294883
18,2.290048
18,2.291450
18,2.278777
19,2.286444
19,2.307376
19,2.300724
19,2.311645
19,2.327595
19,2.314779
19,2.319185
19,2.313935
19,2.307742
19,2.291942
20,2.140235
20,2.144874
20,2.170012
20,2.134270
20,2.124892
20,2.174988
20,2.144836
20,2.144970
20,2.145999
20,2.129303
21,2.129737
21,2.158743
21,2.139286
21,2.161711
21,2.134692
21,2.144627
21,2.146855
21,2.134191
21,2.148425
21,2.159093
22,2.069159
22,2.072139
22,2.058882
22,2.096753
22,2.053312
22,2.098019
22,2.053192
22,2.080311
22,2.056660
22,2.106801
23,1.980594
23,1.961235
23,1.991365
23,2.010301
23,1.959673
23,2.024848
23,1.977299
23,1.975677
23,2.042112
23,1.978977
24,1.897849
24,1.908555
24,1.904157
24,1.919460
24,1.901401
24,1.923306
24,1.893068
24,1.886472
24,1.896648
24,1.896360
25,1.899391
25,1.906920
25,1.890853
25,1.939516
25,1.883748
25,1.889645
25,1.886120
25,1.894536
25,1.881988
25,1.896172
26,1.853733
26,1.862625
26,1.858620
26,1.877818
26,1.846599
26,1.856292
26,1.891185
26,1.847331
26,1.876204
26,1.866652
27,1.738173
27,1.749018
27,1.776739
27,1.742037
27,1.750069
27,1.752394
27,1.752533
27,1.737039
27,1.760163
27,1.738704
28,1.749743
28,1.764149
28,1.720553
28,1.750515
28,1.749962
28,1.725467
28,1.758894
28,1.747682
28,1.742433
28,1.738189
29,1.757090
29,1.793137
29,1.743080
29,1.758271
29,1.759383
29,1.748746
29,1.739414
29,1.761848
29,1.796691
29,1.756192
30,1.706992
30,1.694657
30,1.700138
30,1.689771
30,1.691820
30,1.720161
30,1.698859
30,1.711307
30,1.698774
30,1.682503
31,1.709808
31,1.693171
31,1.681727
31,1.734111
31,1.685437
31,1.676605
31,1.733225
31,1.741187
31,1.706687
31,1.709932
32,1.602128
32,1.623575
32,1.606846
32,1.618551
32,1.627827
32,1.634072
32,1.630897
32,1.611942
32,1.626889
32,1.653484
33,1.608402
33,1.621857
33,1.607275
33,1.630930
33,1.599375
33,1.614891
33,1.620544
33,1.616151
33,1.592925
33,1.637011
34,1.614797
34,1.584076
34,1.616108
34,1.617208
34,1.631820
34,1.615552
34,1.633000
34,1.623564
34,1.624248
34,1.604082
35,1.578576
35,1.564940
35,1.555425
35,1.556351
35,1.587626
35,1.554822
35,1.566788
35,1.570410
35,1.558575
35,1.559952
36,1.590935
36,1.560521
36,1.564449
36,1.591583
36,1.566359
36,1.556640
36,1.551204
36,1.552935
36,1.573853
36,1.549600
37,1.599933
37,1.569112
37,1.546123
37,1.567462
37,1.564245
37,1.569806
37,1.574356
37,1.567774
37,1.556454
37,1.590180
38,1.604447
38,1.633703
38,1.609980
38,1.612894
38,1.630550
38,1.632841
38,1.609414
38,1.624690
38,1.635327
38,1.636915
39,1.597998
39,1.600161
39,1.605432
39,1.639430
39,1.552215
39,1.602123
39,1.611876
39,1.598246
39,1.602632
39,1.567432
40,1.524244
40,1.524591
40,1.537622
40,1.527974
40,1.531012
40,1.538142
40,1.541148
40,1.523143
40,1.546121
40,1.535792
41,1.547182
41,1.522959
41,1.522138
41,1.526989
41,1.528982
41,1.539610
41,1.530655
41,1.534830
41,1.539156
41,1.521424
42,1.527221
42,1.524703
42,1.520908
42,1.512802
42,1.519509
42,1.535911
42,1.528864
42,1.529258
42,1.536989
42,1.504793
43,1.514301
43,1.532988
43,1.518216
43,1.516463
43,1.520759
43,1.526233
43,1.526549
43,1.520533
43,1.533890
43,1.511507
44,1.518692
44,1.515720
44,1.481665
44,1.496445
44,1.522935
44,1.520918
44,1.518638
44,1.526577
44,1.521900
44,1.495476
45,1.509204
45,1.511466
45,1.515671
45,1.494939
45,1.516120
45,1.505217
45,1.486804
45,1.515906
45,1.510235
45,1.504028
46,1.507993
46,1.524758
46,1.497857
46,1.490340
46,1.507634
46,1.528494
46,1.490543
46,1.491711
46,1.492781
46,1.486611
47,1.553007
47,1.549636
47,1.548444
47,1.579268
47,1.557287
47,1.551846
47,1.543061
47,1.568793
47,1.555932
47,1.562772
48,1.492226
48,1.494578
48,1.494235
48,1.524765
48,1.505511
48,1.497995
48,1.480273
48,1.501525
48,1.499465
48,1.508636
49,1.506364
49,1.503324
49,1.497846
49,1.523905
49,1.495326
49,1.491741
49,1.502877
49,1.490229
49,1.508091
49,1.512798
50,1.479756
50,1.480200
50,1.489256
50,1.505104
50,1.493065
50,1.477269
50,1.503682
50,1.495532
50,1.494886
50,1.482444
51,1.499548
51,1.501916
51,1.508639
51,1.511176
51,1.512748
51,1.495283
51,1.505214
51,1.507007
51,1.498988
51,1.497169
52,1.565058
52,1.555245
52,1.563033
52,1.566804
52,1.577392
52,1.548647
52,1.562401
52,1.566670
52,1.563756
52,1.545829
53,1.572495
53,1.547633
53,1.586594
53,1.554928
53,1.553287
53,1.551945
53,1.551804
53,1.555799
53,1.566100
53,1.573086
54,1.539276
54,1.527656
54,1.525096
54,1.533109
54,1.533662
54,1.533569
54,1.532495
54,1.537037
54,1.529058
54,1.541321
55,1.521968
55,1.524093
55,1.536579
55,1.521528
55,1.535095
55,1.540174
55,1.527780
55,1.528264
55,1.520351
55,1.519571
56,1.529502
56,1.523386
56,1.526918
56,1.535767
56,1.540228
56,1.534962
56,1.528606
56,1.535447
56,1.525613
56,1.539762
57,1.532461
57,1.530758
57,1.530253
57,1.532358
57,1.529758
57,1.532309
57,1.530378
57,1.523104
57,1.532821
57,1.525864
58,1.579932
58,1.610397
58,1.568003
58,1.673231
58,1.659189
58,1.609465
58,1.615701
58,1.595930
58,1.609016
58,1.601083
59,1.617435
59,1.639824
59,1.628470
59,1.623757
59,1.619017
59,1.661532
59,1.674048
59,1.637967
59,1.626524
59,1.648933
60,1.535281
60,1.533638
60,1.541034
60,1.531929
60,1.530174
60,1.536367
60,1.537785
60,1.534211
60,1.530965
60,1.535488
61,1.525929
61,1.545238
61,1.525194
61,1.541890
61,1.532646
61,1.543245
61,1.534033
61,1.536094
61,1.521065
61,1.551111
62,1.649314
62,1.705050
62,1.754817
62,1.664626
62,1.680962
62,1.802102
62,1.787106
62,1.658890
62,1.679478
62,1.803904
63,1.554682
63,1.544984
63,1.538743
63,1.550818
63,1.540207
63,1.529449
63,1.550055
63,1.558059
63,1.547127
63,1.545766
64,1.561008
64,1.537663
64,1.556589
64,1.541986
64,1.535535
64,1.545421
64,1.553620
64,1.537191
64,1.557733
64,1.544024
