n_cores,time
1,31.530339
1,31.641762
1,31.545197
1,31.099784
1,32.210029
1,31.850960
1,32.045578
1,31.506564
1,31.913574
1,31.033304
2,16.789654
2,16.709397
2,16.789700
2,16.914890
2,16.685220
2,16.771995
2,16.531033
2,16.549897
2,16.519712
2,16.835420
3,15.802910
3,16.071865
3,16.336760
3,15.956607
3,15.919683
3,15.874031
3,16.232098
3,16.313531
3,16.162912
3,16.113470
4,11.351164
4,11.472615
4,11.839378
4,11.196191
4,11.400881
4,11.726157
4,11.203989
4,11.295457
4,11.542607
4,11.261183
5,8.637771
5,8.559915
5,8.805136
5,8.691104
5,8.666378
5,8.719491
5,8.761208
5,8.813294
5,8.721327
5,8.651250
6,5.844829
6,5.757187
6,5.794453
6,5.744848
6,5.779980
6,5.864344
6,5.858387
6,5.852002
6,5.743614
6,5.769320
7,5.913901
7,5.859322
7,5.938738
7,5.916769
7,5.926555
7,6.102028
7,5.947761
7,5.947994
7,5.935247
7,5.993003
8,4.562869
8,4.524500
8,4.528889
8,4.563654
8,4.510116
8,4.478172
8,4.511972
8,4.544296
8,4.569655
8,4.530203
9,4.561396
9,4.552696
9,4.636239
9,4.586507
9,4.558612
9,4.596315
9,4.502454
9,4.600950
9,4.574503
9,4.532952
10,4.026527
10,4.063733
10,4.094912
10,4.052763
10,4.066174
10,4.119918
10,4.073503
10,4.059776
10,3.977715
10,4.029157
11,3.843052
11,3.799342
11,3.799667
11,3.756175
11,3.888228
11,3.821905
11,3.799530
11,3.766599
11,3.772409
11,3.802246
12,3.146402
12,3.140863
12,3.086173
12,3.180783
12,3.160305
12,3.167002
12,3.112449
12,3.171030
12,3.158300
12,3.134218
13,3.206060
13,3.161999
13,3.182081
13,3.107457
13,3.184355
13,3.177399
13,3.147017
13,3.171698
13,3.205600
13,3.184266
14,2.849339
14,2.791520
14,2.780630
14,2.827136
14,2.811928
14,2.703749
14,2.800061
14,2.823402
14,2.802435
14,2.835601
15,2.611129
15,2.627764
15,2.598279
15,2.624263
15,2.587114
15,2.634982
15,2.634004
15,2.617149
15,2.629643
15,2.605194
16,2.544299
16,2.625315
16,2.659319
16,2.621665
16,2.590963
16,2.602511
16,2.542949
16,2.619599
16,2.605483
16,2.617574
17,2.646714
17,2.606733
17,2.604084
17,2.415721
17,2.633284
17,2.649242
17,2.594795
17,2.607449
17,2.695585
17,2.666581
18,2.316727
18,2.293842
18,2.278700
18,2.309135
18,2.264391
18,2.277032
18,2.339923
18,2.277903
18,2.332876
18,2.319984
19,2.452481
19,2.502947
19,2.314942
19,2.459004
19,2.290622
19,2.480587
19,2.318602
19,2.474956
19,2.326813
19,2.461683
20,2.174528
20,2.278998
20,2.130076
20,2.272777
20,2.116047
20,2.215389
20,2.176637
20,2.270825
20,2.276600
20,2.109315
21,2.221618
21,2.257117
21,2.265491
21,2.129015
21,2.105038
21,2.293166
21,2.161222
21,2.116070
21,2.214188
21,2.154086
22,2.095755
22,2.132244
