n_cores,time
1,42.115250
1,42.455960
1,42.412359
1,42.444851
1,42.450386
1,42.360672
1,42.445229
1,42.394006
1,42.466615
1,42.483614
2,21.509426
2,21.347575
2,21.430468
2,21.338806
2,21.457783
2,21.628566
2,21.582139
2,21.667707
2,21.583089
2,21.324418
3,14.306013
3,14.364675
3,14.362414
3,14.353515
3,14.321531
3,14.353985
3,14.320698
3,14.333875
3,14.411046
3,14.344192
4,10.738600
4,10.754288
4,10.712199
4,10.712542
4,10.724979
4,10.722320
4,10.707831
4,10.731950
4,10.702984
4,10.729105
5,8.669653
5,8.609830
5,8.682303
5,8.699522
5,8.732731
5,8.749005
5,8.759235
5,8.779230
5,8.792200
5,8.756930
6,7.489165
6,7.477869
6,7.480188
6,7.480381
6,7.474660
6,7.494603
6,7.471432
6,7.494529
6,7.476603
6,7.518532
7,6.468766
7,6.457693
7,6.453080
7,6.453983
7,6.452933
7,6.472966
7,6.479143
7,6.468545
7,6.476257
7,6.468198
8,5.655674
8,5.678298
8,5.646685
8,5.668961
8,5.661825
8,5.643210
8,5.661755
8,5.660295
8,5.658488
8,5.667406
9,5.167995
9,5.167713
9,5.148313
9,5.175503
9,5.161279
9,5.169304
9,5.186209
9,5.166364
9,5.172225
9,5.150457
10,4.637468
10,4.643853
10,4.638683
10,4.624377
10,4.648533
10,4.635824
10,4.643305
10,4.636931
10,4.649062
10,4.631978
11,4.394913
11,4.407703
11,4.405051
11,4.398203
11,4.401223
11,4.381490
11,4.401366
11,4.411508
11,4.395331
11,4.390900
12,3.988339
12,3.983078
12,3.991554
12,3.993302
12,3.990685
12,3.992825
12,3.990046
12,3.991257
12,3.977063
12,3.985380
13,3.724372
13,3.722931
13,3.733827
13,3.725897
13,3.729204
13,3.731897
13,3.721797
13,3.726803
13,3.720919
13,3.727196
14,3.632364
14,3.648408
14,3.631531
14,3.642347
14,3.635548
14,3.636734
14,3.633573
14,3.626246
14,3.609858
14,3.637782
15,3.447536
15,3.467218
15,3.445025
15,3.457960
15,3.438880
15,3.463762
15,3.446693
15,3.449478
15,3.451958
15,3.445205
16,3.147346
16,3.172230
16,3.148155
16,3.147861
16,3.143440
16,3.169794
16,3.150478
16,3.170047
16,3.147679
16,3.145626
17,3.104261
17,3.141480
17,3.113168
17,3.103144
17,3.107506
17,3.128625
17,3.104355
17,3.106063
17,3.125520
17,3.119049
18,2.980063
18,2.994934
18,2.977094
18,2.977880
18,2.978019
18,2.981395
18,2.985744
18,2.984206
18,2.986253
18,2.982221
19,2.916331
19,2.917015
19,2.919419
19,2.923777
19,2.915536
19,2.907027
19,2.918066
19,2.909035
19,2.921606
19,2.913416
20,2.593778
20,2.600540
20,2.589846
20,2.597187
20,2.605246
20,2.605535
20,2.605327
20,2.589434
20,2.594302
20,2.600888
21,2.606261
21,2.602422
21,2.591125
21,2.605023
21,2.613537
21,2.611420
21,2.603583
21,2.602625
21,2.598108
21,2.607541
22,2.509026
22,2.508080
22,2.507667
22,2.511747
22,2.507501
22,2.509430
22,2.504541
22,2.514171
22,2.520004
22,2.516878
23,2.407588
23,2.414898
23,2.416779
23,2.412831
23,2.409613
23,2.414780
23,2.408497
23,2.411740
23,2.424128
23,2.386069
24,2.310667
24,2.304003
24,2.303010
24,2.335729
24,2.307213
24,2.302060
24,2.308272
24,2.310420
24,2.302857
24,2.306250
25,2.285525
25,2.297823
25,2.299442
25,2.290395
25,2.298456
25,2.299067
25,2.286774
25,2.287416
25,2.287362
25,2.293351
26,2.291720
26,2.293951
26,2.295555
26,2.290041
26,2.293663
26,2.294318
26,2.306386
26,2.294254
26,2.285033
26,2.283514
27,2.300228
27,2.297658
27,2.295917
27,2.305895
27,2.294197
27,2.302586
27,2.302787
27,2.291749
27,2.302656
27,2.298986
28,2.203886
28,2.226975
28,2.278507
28,2.200214
28,2.200485
28,2.203878
28,2.197020
28,2.204561
28,2.192071
28,2.199205
29,2.247249
29,2.254429
29,2.250594
29,2.240859
