n_cores,time
1,42.304633
1,42.229319
1,42.118393
1,42.318032
1,42.326152
1,42.371731
1,42.216604
1,42.395781
1,42.298578
1,42.478993
2,22.423897
2,22.373476
2,22.540736
2,22.483505
2,22.502653
2,22.413749
2,22.593531
2,22.471186
2,22.415566
2,22.423328
3,15.203536
3,15.251679
3,15.253975
3,15.168202
3,15.103798
3,15.184444
3,15.129439
3,15.131215
3,15.113638
3,15.093478
4,11.203243
4,11.233959
4,11.172374
4,11.206231
4,11.167744
4,11.195436
4,11.191016
4,11.145201
4,11.198198
4,11.211805
5,8.913632
5,8.954391
5,8.872055
5,8.955771
5,8.890959
5,8.895308
5,8.906600
5,8.865631
5,8.903031
5,8.935796
6,7.584334
6,7.565695
6,7.619966
6,7.577480
6,7.587170
6,7.606955
6,7.588353
6,7.591574
6,7.600449
6,7.552727
7,6.471200
7,6.469348
7,6.443060
7,6.480828
7,6.489840
7,6.459053
7,6.471970
7,6.480961
7,6.449290
7,6.464937
8,5.656097
8,5.649554
8,5.646317
8,5.639089
8,5.657928
8,5.645954
8,5.627176
8,5.652119
8,5.643682
8,5.647780
9,5.188817
9,5.145427
9,5.163698
9,5.167858
9,5.112868
9,5.132264
9,5.159905
9,5.159310
9,5.171592
9,5.159045
10,4.544150
10,4.546804
10,4.535649
10,4.533527
10,4.549302
10,4.538958
10,4.543593
10,4.549773
10,4.536896
10,4.539689
11,4.300713
11,4.254683
11,4.283817
11,4.236217
11,4.290227
11,4.234785
11,4.248312
11,4.278953
11,4.287850
11,4.240388
12,3.844822
12,3.832280
12,3.851610
12,3.817350
12,3.844604
12,3.848873
12,3.831188
12,3.845840
12,3.845603
12,3.882977
13,3.556396
13,3.608925
13,3.572796
13,3.570399
13,3.565965
13,3.561927
13,3.565999
13,3.572519
13,3.571566
13,3.580212
14,3.448462
14,3.432268
14,3.432619
14,3.422857
14,3.462185
14,3.465282
14,3.463763
14,3.462705
14,3.465628
14,3.446625
15,3.290297
15,3.267722
15,3.290325
15,3.287454
15,3.282434
15,3.289880
15,3.276016
15,3.244496
15,3.268533
15,3.289251
16,2.996914
16,2.963328
16,2.986004
16,2.948207
16,2.961687
16,3.007831
16,2.982216
16,2.959434
16,2.999706
16,2.969496
17,2.971657
17,2.965997
17,2.962618
17,2.975992
17,2.973819
17,2.982484
17,2.975116
17,2.977137
17,2.966591
17,2.938705
18,2.908518
18,2.906399
18,2.884804
18,2.863016
18,2.910052
18,2.873320
18,2.882640
18,2.883242
18,2.867735
18,2.868229
19,2.836663
19,2.814366
19,2.805258
19,2.826160
19,2.807446
19,2.777135
19,2.784783
19,2.822281
19,2.805509
19,2.810335
20,2.566378
20,2.560118
20,2.554398
20,2.552334
20,2.551524
20,2.544502
20,2.551703
20,2.537072
20,2.571776
20,2.562962
21,2.583772
21,2.580494
21,2.599553
21,2.568032
21,2.557397
21,2.569366
21,2.563943
21,2.559431
21,2.585976
21,2.576634
22,2.516147
22,2.517610
22,2.519538
22,2.520398
22,2.514968
22,2.521823
22,2.517208
22,2.515187
22,2.517115
22,2.514158
23,2.547152
23,2.552699
23,2.555267
23,2.558903
23,2.561900
23,2.556379
23,2.546827
23,2.553235
23,2.559679
23,2.563515
24,2.549083
24,2.541307
24,2.541914
24,2.541653
24,2.545153
24,2.545567
24,2.550232
24,2.539689
24,2.549498
24,2.545322
25,2.542864
25,2.564407
25,2.538539
25,2.535682
25,2.548522
25,2.542493
25,2.551295
25,2.540830
25,2.546077
25,2.540827
26,2.572186
26,2.576982
26,2.617484
