n_cores,time
1,20.958081
1,21.343352
1,21.485638
1,21.423754
1,21.583449
1,21.037061
1,21.193279
1,21.425807
1,21.069095
1,21.189652
2,10.671777
2,10.857948
2,10.707672
2,10.643302
2,10.818349
2,10.926515
2,10.623695
2,10.810329
2,10.656504
2,10.886651
3,7.226604
3,7.169384
3,7.268585
3,7.152819
3,7.189622
3,7.248962
3,7.192011
3,7.230718
3,7.221050
3,7.123689
4,5.403366
4,5.295230
4,5.389748
4,5.372479
4,5.412773
4,5.461131
4,5.406906
4,5.441697
4,5.475519
4,5.443837
5,4.384971
5,4.292277
5,4.310063
5,4.299913
5,4.357069
5,4.296719
5,4.274819
5,4.334316
5,4.339436
5,4.312217
6,3.736626
6,3.704126
6,3.719754
6,3.692762
6,3.645457
6,3.667936
6,3.679168
6,3.700251
6,3.763394
6,3.740221
7,3.310321
7,3.253669
7,3.210912
7,3.311596
7,3.233273
7,3.250525
7,3.234036
7,3.242164
7,3.231996
7,3.186431
8,2.831876
8,2.855592
8,2.844235
8,2.843968
8,2.868081
8,2.817861
8,2.848175
8,2.857086
8,2.883410
8,2.846387
9,2.562478
9,2.589032
9,2.589826
9,2.561211
9,2.587805
9,2.571989
9,2.578668
9,2.590413
9,2.596099
9,2.549449
10,2.316946
10,2.278632
10,2.373532
10,2.324829
10,2.298698
10,2.310151
10,2.284719
10,2.288336
10,2.283889
10,2.291992
11,2.183397
11,2.181359
11,2.160032
11,2.208977
11,2.172313
11,2.159008
11,2.191075
11,2.193175
11,2.196914
11,2.167489
12,2.005848
12,2.001370
12,1.986851
12,1.983050
12,1.997539
12,1.989233
12,1.998267
12,1.996953
12,2.025609
12,1.987539
13,1.863510
13,1.858783
13,1.836194
13,1.859155
13,1.850977
13,1.879293
13,1.873417
13,1.887375
13,1.880196
13,1.845414
14,1.735980
14,1.778382
14,1.771470
14,1.763323
14,1.776043
14,1.766446
14,1.769039
14,1.749928
14,1.737590
14,1.758577
15,1.686018
15,1.693713
15,1.695038
15,1.694190
15,1.695123
15,1.701956
15,1.689039
15,1.698737
15,1.671306
15,1.675840
16,1.555629
16,1.576753
16,1.566330
16,1.545202
16,1.550886
16,1.561604
16,1.565374
16,1.549738
16,1.563884
16,1.550529
17,1.503351
17,1.503000
17,1.503216
17,1.508464
17,1.505012
17,1.511330
17,1.497568
17,1.502879
17,1.502377
17,1.514804
18,1.417747
18,1.446266
18,1.435111
18,1.415122
18,1.438532
18,1.410499
18,1.445296
18,1.441293
18,1.432763
18,1.418264
19,1.406903
19,1.411942
19,1.406903
19,1.387698
19,1.400231
19,1.396936
19,1.398666
19,1.403676
19,1.426734
19,1.392301
20,1.315554
20,1.289414
20,1.303517
20,1.321039
20,1.300859
20,1.318733
20,1.295565
20,1.299400
20,1.325273
20,1.311569
21,1.282528
21,1.276710
21,1.285842
21,1.286127
21,1.307822
21,1.266191
21,1.288027
21,1.274700
21,1.281998
21,1.281549
22,1.286234
22,1.269622
22,1.275015
22,1.273491
22,1.259733
22,1.288173
22,1.271754
22,1.278285
22,1.279308
22,1.305524
23,1.241330
23,1.277330
23,1.257830
23,1.243957
23,1.271107
23,1.236670
23,1.242062
23,1.242352
23,1.239290
23,1.286000
24,1.264914
24,1.245205
24,1.264828
24,1.236228
24,1.253145
24,1.234225
24,1.240001
24,1.246590
24,1.242673
24,1.242920
25,1.241744
25,1.240898
25,1.233078
25,1.240456
25,1.232322
25,1.231016
25,1.236864
25,1.232089
25,1.277691
25,1.236651
26,1.259812
26,1.262313
26,1.263615
26,1.265659
26,1.262316
26,1.264353
26,1.261861
26,1.260571
26,1.258026
26,1.262657
27,1.239460
27,1.242665
27,1.239860
27,1.236872
27,1.236532
27,1.237363
27,1.236842
27,1.238998
27,1.241156
27,1.240348
28,1.263860
28,1.264351
28,1.267367
28,1.272037
28,1.283556
28,1.266125
28,1.261031
28,1.275715
28,1.275831
28,1.268398
29,1.277016
29,1.277122
29,1.271900
29,1.285831
29,1.296641
29,1.293719
29,1.259985
29,1.289609
29,1.288413
29,1.296270
30,1.296853
30,1.293572
30,1.295983
30,1.281623
30,1.334564
30,1.336386
30,1.291592
30,1.310033
30,1.298928
30,1.280948
31,1.271227
31,1.309473
31,1.300999
31,1.273776
31,1.278018
31,1.277143
31,1.274438
31,1.277758
31,1.280312
31,1.275607
32,0.950929
32,0.953158
32,0.968127
32,0.944277
32,0.951272
32,0.974788
32,0.941928
32,0.970010
32,0.959620
32,0.953950
33,0.984287
33,0.972413
33,0.972918
33,0.981744
33,0.974025
33,0.978119
33,1.050088
33,0.976335
33,1.009736
33,0.974134
34,0.974840
34,1.005117
34,1.005311
34,1.021417
34,1.004799
34,0.970004
34,1.008524
34,1.043655
34,0.999708
34,0.976143
35,0.973875
35,0.973861
35,0.971096
35,0.971219
35,0.976578
35,0.971453
35,1.019409
35,0.975170
35,0.974769
35,0.984419
36,0.970867
36,0.968688
36,0.967468
36,0.970475
36,0.965387
36,0.974420
36,1.066923
36,0.968609
36,0.969719
36,0.973269
37,0.964199
37,0.981144
37,0.965805
37,1.007742
37,1.004422
37,1.059509
37,1.001007
37,0.963077
37,1.018451
37,1.027333
38,0.977937
38,1.062851
38,1.058157
38,0.982530
38,1.050444
38,1.071398
38,1.047859
38,0.970029
38,1.098548
38,0.971152
39,1.019997
39,1.011224
39,1.004687
39,1.049435
39,1.019978
39,1.020196
39,1.044675
39,1.019170
39,0.980831
39,1.020522
40,1.054207
40,1.060510
40,0.969401
40,1.062254
40,1.042136
40,1.076164
40,1.064882
40,1.077832
40,0.985725
40,1.072040
41,1.059467
41,0.980988
41,0.977738
41,0.979079
41,1.059910
41,1.082119
41,1.062754
41,0.977983
41,1.073695
41,1.058668
42,1.074859
42,1.123807
42,1.091661
42,1.101585
42,1.002844
42,0.990890
42,1.110863
42,0.995351
42,0.990163
42,1.003575
43,1.116367
43,1.066620
43,1.093234
43,1.078305
43,1.071970
43,1.068751
43,0.987326
43,1.053106
43,1.070234
43,1.078034
44,1.011288
44,0.995928
44,1.019549
44,1.072539
44,1.059583
44,1.059098
44,1.054872
44,1.061282
44,1.072484
44,1.064270
45,1.011050
45,1.059354
45,1.004451
45,0.996338
45,1.030761
45,0.995263
45,1.000139
45,1.009798
45,1.003893
45,1.010971
46,1.011939
46,1.023511
46,1.075223
46,1.075133
46,1.009352
46,1.080039
46,1.021895
46,1.059661
46,1.020277
46,1.097122
47,1.011434
47,1.021413
47,1.069931
47,1.056466
47,1.063128
47,1.011200
47,1.071711
47,1.013051
47,1.047201
47,1.086633
48,1.022756
48,1.012306
48,1.019893
48,0.993254
48,0.990567
48,1.011442
48,1.021554
48,1.003891
48,1.031381
48,1.012550
49,1.020109
49,1.115699
49,1.037303
49,1.053886
49,1.076439
49,1.157499
49,1.101365
49,1.077721
49,1.086381
49,1.081012
50,1.103716
50,1.062738
50,1.076613
50,1.067801
50,1.068981
50,1.090845
50,1.049407
50,1.092276
50,1.084138
50,1.057839
51,1.107319
51,1.083521
51,1.109597
51,1.101940
51,1.057200
51,1.065557
51,1.064683
51,1.072627
51,1.096743
51,1.081927
52,1.104154
52,1.114227
52,1.088029
52,1.119239
52,1.163711
52,1.081322
52,1.117556
52,1.136656
52,1.105946
52,1.105169
53,1.179941
53,1.162240
53,1.253779
53,1.124633
53,1.192778
53,1.139043
53,1.184284
53,1.127311
53,1.163887
53,1.177187
54,1.164441
54,1.193016
54,1.192108
54,1.162832
54,1.196113
54,1.185857
54,1.186123
54,1.195510
54,1.157961
54,1.161256
55,1.209405
55,1.173940
55,1.176763
55,1.197537
55,1.198832
55,1.183633
55,1.194635
55,1.198293
55,1.204981
55,1.189659
56,1.246866
56,1.191518
56,1.182076
56,1.239616
56,1.155188
56,1.172907
56,1.187345
56,1.178003
56,1.188672
56,1.170888
57,1.168625
57,1.160510
57,1.121532
57,1.172864
57,1.165285
57,1.161916
57,1.169872
57,1.163114
57,1.186592
57,1.153327
58,1.227043
58,1.148399
58,1.149210
58,1.144455
58,1.217712
58,1.115680
58,1.182512
58,1.181862
58,1.160449
58,1.137513
59,1.131113
59,1.133861
59,1.197955
59,1.136898
59,1.115334
59,1.133272
59,1.137868
59,1.115358
59,1.172467
59,1.128448
60,1.178785
60,1.207070
60,1.117501
60,1.199841
60,1.168508
60,1.190044
60,1.220293
60,1.116090
60,1.182902
60,1.160843
61,1.205255
61,1.186118
61,1.220038
61,1.209979
61,1.211346
61,1.203387
61,1.162938
61,1.223782
61,1.183524
61,1.117786
62,1.163315
62,1.222735
62,1.215020
62,1.235226
62,1.222734
