n_cores,time
1,20.779929
1,21.378173
1,21.538942
1,21.120000
1,21.697921
1,21.471297
1,21.092876
1,20.811170
1,21.198662
1,20.707042
2,11.219008
2,11.141782
2,11.225297
2,11.063484
2,11.293636
2,11.286888
2,11.324862
2,11.164687
2,11.045312
2,11.091382
3,7.630148
3,7.728436
3,7.475778
3,7.426373
3,7.526331
3,7.470860
3,7.491638
3,7.487227
3,7.423532
3,7.460435
4,5.664956
4,5.633147
4,5.675026
4,5.630078
4,5.597192
4,5.596814
4,5.583568
4,5.559753
4,5.538046
4,5.548181
5,4.434118
5,4.482532
5,4.482874
5,4.441630
5,4.424070
5,4.483854
5,4.438695
5,4.470992
5,4.490635
5,4.491418
6,3.766916
6,3.760937
6,3.774835
6,3.778464
6,3.819982
6,3.819064
6,3.789397
6,3.764173
6,3.771986
6,3.808285
7,3.300769
7,3.313115
7,3.256118
7,3.281416
7,3.276349
7,3.291586
7,3.327092
7,3.294149
7,3.283596
7,3.252319
8,2.815788
8,2.924433
8,2.851362
8,2.888349
8,2.834843
8,2.866125
8,2.883432
8,2.838449
8,2.844717
8,2.873592
9,2.572839
9,2.553525
9,2.549852
9,2.565374
9,2.581208
9,2.567482
9,2.558067
9,2.523464
9,2.572857
9,2.547450
10,2.309240
10,2.303044
10,2.281753
10,2.363096
10,2.309626
10,2.344760
10,2.290335
10,2.302716
10,2.275212
10,2.303020
11,2.145100
11,2.152968
11,2.153462
11,2.159213
11,2.131118
11,2.155035
11,2.145454
11,2.169924
11,2.161310
11,2.151124
12,1.922712
12,1.927964
12,1.937333
12,1.916781
12,1.941435
12,1.943999
12,1.904984
12,1.912770
12,1.908120
12,1.932991
13,1.798095
13,1.771034
13,1.820229
13,1.773417
13,1.813474
13,1.820931
13,1.828779
13,1.787380
13,1.799875
13,1.793084
14,1.735006
14,1.728612
14,1.726843
14,1.714644
14,1.737903
14,1.714816
14,1.730726
14,1.718854
14,1.725727
14,1.718973
15,1.699326
15,1.759947
15,1.724907
15,1.703079
15,1.681006
15,1.686385
15,1.699864
15,1.689862
15,1.708332
15,1.689957
16,1.543651
16,1.522249
16,1.558113
16,1.507241
16,1.520688
16,1.518076
16,1.511234
16,1.529603
16,1.523607
16,1.514355
17,1.544916
17,1.547133
17,1.554137
17,1.532677
17,1.506661
17,1.531568
17,1.532979
17,1.543447
17,1.541010
17,1.556347
18,1.544366
18,1.516387
18,1.526716
18,1.502616
18,1.533112
18,1.514144
18,1.509077
18,1.517818
18,1.505174
18,1.526779
19,1.598985
19,1.552224
19,1.604295
19,1.582961
19,1.559065
19,1.557378
19,1.583123
19,1.569092
19,1.592597
19,1.545717
20,1.559332
20,1.561264
20,1.581601
20,1.581618
20,1.576410
20,1.560336
20,1.599927
20,1.611362
20,1.564978
20,1.562943
21,1.556859
21,1.550371
21,1.563003
21,1.554834
21,1.556414
21,1.562965
21,1.572313
21,1.563299
21,1.572619
21,1.561243
22,1.634433
22,1.609197
22,1.635037
22,1.629735
22,1.604333
22,1.617595
22,1.630068
22,1.617174
22,1.608469
22,1.620355
23,1.745174
23,1.671888
23,1.670672
23,1.676502
23,1.637364
23,1.681174
23,1.644661
23,1.743765
23,1.653924
23,1.675500
24,1.659240
24,1.648123
24,1.654991
24,1.656614
24,1.654801
24,1.651242
24,1.650133
24,1.647835
24,1.648801
24,1.658508
25,1.698524
25,1.723353
25,1.721338
25,1.736284
25,1.711788
25,1.712938
25,1.712996
25,1.720869
25,1.719556
25,1.720902
26,1.738010
26,1.720165
26,1.721128
26,1.730025
26,1.731996
26,1.732362
26,1.737601
26,1.725260
26,1.731132
26,1.735146
27,1.796217
27,1.784385
27,1.739409
27,1.818832
27,1.770213
27,1.817282
27,1.820283
27,1.822414
27,1.817046
27,1.747348
28,1.825656
28,1.811521
28,1.810112
28,1.807053
