n_cores,time
1,30.479494
1,30.501570
1,30.617548
1,30.602851
1,30.637279
1,30.523616
1,30.433701
1,30.540801
1,30.555339
1,30.656764
2,17.214912
2,17.147975
2,16.860382
2,16.797466
2,17.171802
2,17.172157
2,16.862506
2,17.273178
2,17.204567
2,17.081397
3,10.545468
3,10.608774
3,10.545202
3,10.639825
3,10.560827
3,10.611709
3,10.585058
3,10.620290
3,10.612683
3,10.635330
4,8.169997
4,8.184973
4,7.930935
4,8.175283
4,7.869595
4,8.179011
4,7.979196
4,8.172357
4,8.180321
4,7.865043
5,6.097616
5,6.099341
5,6.110788
5,6.099676
5,6.102470
5,6.098112
5,6.112817
5,6.106437
5,6.094740
5,6.102855
6,5.075659
6,5.071411
6,5.069977
6,5.084976
6,5.079141
6,5.067691
6,5.071997
6,5.071946
6,5.075998
6,5.072352
7,4.324948
7,4.326335
7,4.325147
7,4.328604
7,4.326930
7,4.331907
7,4.329707
7,4.329043
7,4.325153
7,4.331633
8,3.798335
8,3.750738
8,3.796175
8,3.797750
8,3.754804
8,3.796558
8,3.752202
8,3.760042
8,3.831794
8,3.757636
9,3.339007
9,3.339157
9,3.334862
9,3.329999
9,3.336386
9,3.336289
9,3.340028
9,3.337546
9,3.334631
9,3.338228
10,3.021199
10,3.025397
10,3.016809
10,3.019757
10,3.015346
10,3.021510
10,3.024665
10,3.024407
10,3.021301
10,3.021207
11,2.747883
11,2.751820
11,2.750288
11,2.747058
11,2.746608
11,2.747325
11,2.748221
11,2.744381
11,2.746678
11,2.748761
12,2.528288
12,2.531799
12,2.525919
12,2.525784
12,2.533535
12,2.529879
12,2.529121
12,2.527192
12,2.535898
12,2.532580
