n_cores,time
1,13.184423
1,13.164134
1,13.180458
1,13.175292
1,13.214317
1,13.195265
1,13.136248
1,13.174787
1,13.237518
1,13.170512
2,7.837942
2,7.842406
2,7.908687
2,7.790562
2,8.003880
2,7.988027
2,7.941930
2,7.880137
2,7.967194
2,7.974406
3,5.112855
3,5.059596
3,5.065930
3,4.956592
3,5.104902
3,5.129154
3,5.122667
3,5.107963
3,5.164459
3,5.117000
4,3.754249
4,3.756421
4,3.763778
4,3.767580
4,3.744970
4,3.774459
4,3.746707
4,3.761399
4,3.761387
4,3.757536
5,2.831965
5,2.851138
5,2.840229
5,2.835574
5,2.849691
5,2.828958
5,2.829871
5,2.840577
5,2.830071
5,2.843466
6,2.390982
6,2.373799
6,2.394083
6,2.395013
6,2.402849
6,2.396775
6,2.393463
6,2.382192
6,2.387834
6,2.385476
7,2.001019
7,2.002705
7,2.010868
7,2.005255
7,1.999732
7,2.000688
7,2.007925
7,1.993712
7,2.003260
7,2.004847
8,1.743420
8,1.709065
8,1.709350
8,1.741722
8,1.711048
8,1.713698
8,1.747872
8,1.729294
8,1.744628
8,1.755031
9,1.532229
9,1.534846
9,1.525058
9,1.528781
9,1.524149
9,1.519009
9,1.524449
9,1.519990
9,1.523264
9,1.529520
10,1.389745
10,1.388138
10,1.392149
10,1.382038
10,1.395652
10,1.387267
10,1.401870
10,1.386187
10,1.382397
10,1.381538
11,1.250948
11,1.266526
11,1.266426
11,1.260357
11,1.265707
11,1.268544
11,1.264088
11,1.256276
11,1.267769
11,1.263544
12,1.171257
12,1.172458
12,1.171606
12,1.177046
12,1.172684
12,1.169577
12,1.174128
12,1.170194
12,1.174794
12,1.170625
