n_cores,time
1,13.227221
1,13.197190
1,13.195215
1,13.178691
1,13.176019
1,13.212360
1,13.165442
1,13.180509
1,13.151390
1,13.156234
2,7.251612
2,7.296532
2,7.334955
2,7.259532
2,7.378646
2,7.402794
2,7.251978
2,7.255779
2,7.302400
2,7.385997
3,4.407641
3,4.399159
3,4.389328
3,4.406040
3,4.409862
3,4.407918
3,4.409452
3,4.411062
3,4.408680
3,4.377206
4,3.728876
4,3.747583
4,3.736207
4,3.769131
4,3.732909
4,3.749136
4,3.773914
4,3.738199
4,3.746859
4,3.752986
5,2.827981
5,2.836458
5,2.825708
5,2.819016
5,2.842454
5,2.835736
5,2.839491
5,2.841396
5,2.831846
5,2.825675
6,2.255496
6,2.263821
6,2.261423
6,2.260404
6,2.251405
6,2.262779
6,2.264852
6,2.255596
6,2.259955
6,2.266675
7,2.005105
7,2.005047
7,2.014331
7,2.005919
7,2.010898
7,1.993325
7,2.007317
7,2.002123
7,2.006096
7,1.986165
8,1.671190
8,1.673318
8,1.672718
8,1.672896
8,1.670872
8,1.671726
8,1.673480
8,1.683761
8,1.670995
8,1.676395
9,1.447230
9,1.445236
9,1.448435
9,1.447140
9,1.449995
9,1.451631
9,1.447944
9,1.456980
9,1.451265
9,1.454240
10,1.341412
10,1.344648
10,1.348554
10,1.344435
10,1.344331
10,1.345795
10,1.345773
10,1.343206
10,1.343281
10,1.343152
11,1.247638
11,1.244407
11,1.244333
11,1.252559
11,1.243527
11,1.251013
11,1.249165
11,1.250928
11,1.251406
11,1.251476
12,1.170903
12,1.181288
12,1.172218
12,1.172907
12,1.170310
12,1.174982
12,1.178933
12,1.174139
12,1.173782
12,1.168646
