n_cores,time
1,29.670487
1,29.200723
1,29.282375
1,29.148268
1,29.203051
1,29.301273
1,29.126665
1,29.241075
1,29.179828
1,29.189039
2,16.899069
2,16.944839
2,16.764021
2,17.074784
2,16.919215
2,17.251339
2,17.005462
2,16.682227
2,16.862478
2,16.792882
3,10.928801
3,10.745156
3,10.924751
3,10.795592
3,10.884564
3,10.870913
3,10.876366
3,11.022427
3,10.704857
3,10.879122
4,8.369894
4,8.307693
4,8.386513
4,8.338887
4,8.360235
4,8.426226
4,8.326347
4,8.435243
4,8.469164
4,8.460815
5,6.665663
5,6.658589
5,6.660825
5,6.701116
5,6.628133
5,6.644778
5,6.642916
5,6.705059
5,6.680919
5,6.723062
6,5.130577
6,5.486314
6,5.467768
6,5.516506
6,5.252842
6,5.131694
6,5.482470
6,5.508292
6,5.462398
6,5.447637
7,4.579805
7,4.418116
7,4.410366
7,4.572293
7,4.395556
7,4.404600
7,4.546562
7,4.407814
7,4.385526
7,4.553435
8,3.866966
8,3.873755
8,3.845888
8,3.852936
8,3.863224
8,3.868300
8,3.876521
8,3.854942
8,3.860139
8,3.870727
9,3.439972
9,3.475300
9,3.445103
9,3.468402
9,3.459263
9,3.471673
9,3.440208
9,3.434710
9,3.475838
9,3.436208
10,3.164148
10,3.145021
10,3.171656
10,3.138961
10,3.145712
10,3.132145
10,3.128660
10,3.143495
10,3.141377
10,3.138359
11,2.836526
11,2.830333
11,2.828457
11,2.839551
11,2.832267
11,2.852120
11,2.835067
11,2.864422
11,2.838227
11,2.819948
12,2.635839
12,2.620362
12,2.636068
12,2.609516
12,2.635032
12,2.625951
12,2.636182
12,2.641402
12,2.635368
12,2.616968
