n_cores,time
1,30.364504
1,28.782814
1,30.222041
1,28.690891
1,29.839865
1,28.806681
1,30.104747
1,28.774423
1,29.818454
1,29.107127
2,15.791449
2,15.860334
2,15.764975
2,15.190033
2,15.171601
2,15.338777
2,15.202714
2,15.249022
2,14.746904
2,15.616086
3,10.413602
3,9.940961
3,10.233664
3,9.968803
3,10.063549
3,10.378964
3,10.285073
3,9.907939
3,10.398012
3,10.007594
4,7.593929
4,7.491587
4,7.610420
4,7.572536
4,7.474391
4,7.584456
4,7.616131
4,7.496498
4,7.676883
4,7.515109
5,6.355339
5,6.392651
5,6.463747
5,6.384818
5,6.334371
5,6.380139
5,6.378039
5,6.383597
5,6.266539
5,6.415249
6,5.005462
6,4.994851
6,5.028067
6,5.051809
6,4.958353
6,5.026939
6,4.990728
6,5.103525
6,5.097093
6,5.042360
7,4.417116
7,4.302885
7,4.265784
7,4.316212
7,4.317373
7,4.351182
7,4.321295
7,4.315137
7,4.413853
7,4.473983
8,3.784145
8,3.821247
8,3.846748
8,3.771977
8,3.808055
8,3.882687
8,3.776751
8,3.788826
8,3.798464
8,3.795592
9,3.384999
9,3.468773
9,3.415113
9,3.396921
9,3.427960
9,3.437244
9,3.411209
9,3.382342
9,3.383067
9,3.418315
10,3.068133
10,3.074384
10,3.066672
10,3.056710
10,3.114655
10,3.078230
10,3.081567
10,3.047215
10,3.096251
10,3.087004
11,2.745164
11,2.783789
11,2.763870
11,2.744659
11,2.718362
11,2.749753
11,2.731675
11,2.768881
11,2.749680
11,2.762852
12,2.559917
12,2.508010
12,2.512590
12,2.650939
12,2.506220
12,2.545504
12,2.542535
12,2.533161
12,2.553963
12,2.520885
