n_cores,time
1,14.706335
1,14.610877
1,14.638394
1,14.651001
1,14.650389
1,14.630324
1,14.659735
1,14.655345
1,14.664901
1,14.702986
2,8.795420
2,8.673178
2,8.656775
2,8.646664
2,8.646431
2,8.652631
2,8.671496
2,8.680473
2,8.653874
2,8.677952
3,5.610396
3,5.554895
3,5.603048
3,5.597060
3,5.603552
3,5.588100
3,5.615578
3,5.554826
3,5.599046
3,5.580203
4,4.140175
4,4.155791
4,4.136540
4,4.131138
4,4.135600
4,4.144386
4,4.127499
4,4.133533
4,4.138284
4,4.149446
5,3.299780
5,3.302935
5,3.305166
5,3.311509
5,3.299813
5,3.307998
5,3.291342
5,3.298028
5,3.303785
5,3.311087
6,2.756321
6,2.768974
6,2.776994
6,2.740669
6,2.753445
6,2.764887
6,2.741841
6,2.772569
6,2.775291
6,2.758639
7,2.397613
7,2.380139
7,2.384781
7,2.381326
7,2.383311
7,2.383526
7,2.375539
7,2.383448
7,2.381453
7,2.380596
8,1.950260
8,1.953772
8,1.951971
8,1.951498
8,1.951246
8,1.961856
8,1.948762
8,1.953786
8,1.954912
8,1.964761
9,1.781884
9,1.771227
9,1.768242
9,1.784486
9,1.772876
9,1.771729
9,1.770242
9,1.773049
9,1.758800
9,1.772594
10,1.562374
10,1.563769
10,1.568797
10,1.565197
10,1.571726
10,1.569771
10,1.560503
10,1.563081
10,1.579932
10,1.614793
11,1.435027
11,1.432376
11,1.428942
11,1.432887
11,1.426523
11,1.432938
11,1.434450
11,1.435224
11,1.428603
11,1.430914
12,1.335506
12,1.356836
12,1.333385
12,1.372846
12,1.343018
12,1.337022
12,1.380101
12,1.344581
12,1.350477
12,1.341487
