n_cores,time
1,14.451558
1,14.448333
1,14.445721
1,14.461202
1,14.438370
1,14.482277
1,14.433993
1,14.445464
1,14.595659
1,14.461155
2,7.636318
2,7.661143
2,7.810835
2,7.639219
2,7.637935
2,7.783206
2,7.634080
2,7.655401
2,7.695999
2,7.778800
3,5.082399
3,4.986493
3,4.991268
3,5.012674
3,5.094255
3,4.994051
3,5.007716
3,4.993619
3,4.992577
3,5.042664
4,3.736554
4,3.730897
4,3.725891
4,3.734071
4,3.733030
4,3.724237
4,3.716079
4,3.729658
4,3.725257
4,3.771484
5,3.145966
5,3.169026
5,3.169287
5,3.140926
5,3.142735
5,3.147358
5,3.147930
5,3.157801
5,3.144873
5,3.144725
6,2.487689
6,2.505501
6,2.488437
6,2.515667
6,2.493191
6,2.498210
6,2.512770
6,2.487341
6,2.490311
6,2.488754
7,2.225341
7,2.220485
7,2.209723
7,2.220769
7,2.222503
7,2.220300
7,2.207705
7,2.233234
7,2.226109
7,2.225827
8,1.905151
8,1.904978
8,1.905406
8,1.908707
8,1.910550
8,1.913657
8,1.907419
8,1.905070
8,1.904781
8,1.902676
9,1.712927
9,1.714211
9,1.719728
9,1.713674
9,1.717901
9,1.713310
9,1.714258
9,1.715669
9,1.709888
9,1.714117
10,1.534980
10,1.538746
10,1.533561
10,1.538723
10,1.538340
10,1.540951
10,1.523949
10,1.533107
10,1.535566
10,1.533276
11,1.389426
11,1.393244
11,1.387098
11,1.391498
11,1.398512
11,1.397962
11,1.390237
11,1.393002
11,1.389942
11,1.387814
12,1.276896
12,1.274967
12,1.280355
12,1.278110
12,1.277580
12,1.280366
12,1.278403
12,1.278788
12,1.280484
12,1.280965
