size,gflops
2000,253.823236
2000,239.338237
2000,222.568139
2000,230.178651
2000,239.123641
2000,225.200743
2000,238.571760
2000,231.569064
2000,241.647791
2000,234.086332
3000,405.962040
3000,344.535174
3000,340.283879
3000,320.005399
3000,343.650296
3000,297.428996
3000,394.553058
3000,335.419166
3000,280.511051
3000,261.860215
4000,422.473941
4000,369.597354
4000,347.293679
4000,439.130204
4000,392.462387
4000,354.838818
4000,416.791813
4000,423.061145
4000,307.911256
4000,373.159602
5000,433.991523
5000,426.203204
5000,380.658965
5000,404.348652
5000,411.362255
5000,405.987594
5000,406.219866
5000,367.056138
5000,358.871459
5000,376.773305
6000,449.248399
6000,463.014002
6000,443.437251
6000,420.747107
6000,475.372730
6000,485.841073
6000,407.199266
6000,459.610934
6000,482.900604
6000,441.000276
7000,500.146117
7000,502.234202
7000,502.951734
7000,506.506538
7000,502.518347
7000,506.331964
7000,506.172524
7000,504.988326
7000,502.990609
7000,504.959223
8000,500.099738
8000,505.391649
8000,507.081035
8000,504.580118
8000,504.269232
8000,509.264144
8000,507.158410
8000,511.843102
8000,510.926422
8000,504.550775
9000,518.688787
9000,520.831422
9000,521.371935
9000,519.953300
9000,521.340534
9000,518.057155
9000,521.073239
9000,522.739133
9000,517.643718
9000,520.882425
10000,525.776649
10000,525.977743
10000,522.835439
10000,522.452163
10000,520.585792
10000,526.540576
10000,526.894277
10000,527.247437
10000,524.140884
10000,525.956232
11000,568.227635
11000,569.164708
11000,570.587167
11000,570.433505
11000,570.616405
11000,568.852529
11000,568.764572
11000,569.573651
11000,567.734137
11000,566.960726
12000,587.173192
12000,615.552048
12000,585.531884
12000,615.351675
12000,614.439429
12000,614.534694
12000,617.833860
12000,615.827982
12000,614.809536
12000,613.771647
13000,654.371665
13000,556.744475
13000,560.218930
13000,652.496809
13000,565.995142
13000,656.483651
13000,657.367722
13000,656.164655
13000,555.747727
13000,654.798493
14000,556.985655
14000,593.537187
14000,556.384707
14000,594.104678
14000,556.200786
14000,595.007018
14000,559.089757
14000,556.722656
14000,550.787631
14000,556.552809
15000,551.131941
15000,550.132830
15000,550.728070
15000,550.569541
15000,548.888982
15000,770.425526
15000,820.589093
15000,548.987731
15000,551.064356
15000,549.698158
16000,843.009980
16000,842.001279
16000,837.299609
16000,840.079861
16000,838.776002
16000,840.748273
16000,787.250602
16000,843.892736
16000,840.080245
16000,840.776028
17000,714.033014
17000,903.846860
17000,568.868473
17000,590.164576
17000,590.105630
17000,640.705413
17000,570.765190
17000,896.969506
17000,569.797463
17000,590.955814
18000,940.808097
18000,947.036692
18000,941.222115
18000,656.712443
18000,890.205163
18000,940.640996
18000,658.056412
18000,927.333750
18000,937.146797
18000,939.783233
19000,929.155924
19000,714.687450
19000,713.443929
19000,713.847298
19000,715.954596
19000,714.689208
19000,715.208258
19000,597.070089
19000,715.440631
19000,715.684565
20000,777.858340
20000,611.841496
20000,611.704366
20000,780.188335
20000,774.625311
20000,594.522700
20000,594.430860
20000,622.730157
20000,647.516928
20000,775.909505
