size,gflops
2000,224.937850
2000,226.464817
2000,237.258482
2000,226.534790
2000,231.727800
2000,232.446008
2000,230.726240
2000,230.640907
2000,235.412225
2000,231.921397
3000,344.859665
3000,294.319828
3000,271.966668
3000,374.847107
3000,355.655249
3000,317.674891
3000,327.385447
3000,296.392814
3000,354.420079
3000,301.526543
4000,450.268898
4000,321.705348
4000,320.917144
4000,379.966975
4000,443.810570
4000,445.295466
4000,381.150654
4000,333.053454
4000,359.267734
4000,349.633837
5000,410.006193
5000,451.559647
5000,385.639636
5000,405.147893
5000,401.012838
5000,404.847793
5000,412.460725
5000,442.396919
5000,368.908045
5000,377.040097
6000,452.004512
6000,488.795422
6000,461.862991
6000,460.114785
6000,464.967676
6000,473.340635
6000,431.898294
6000,482.821109
6000,460.702825
6000,451.847052
7000,494.821145
7000,505.493155
7000,501.483412
7000,504.519338
7000,501.943894
7000,504.934478
7000,501.275186
7000,502.657812
7000,503.606510
7000,503.843335
8000,499.465982
8000,505.293873
8000,510.031370
8000,508.036547
8000,507.377811
8000,506.666211
8000,507.450735
8000,509.837469
8000,510.645041
8000,507.500546
9000,519.804878
9000,521.814817
9000,522.827981
9000,519.062099
9000,523.409343
9000,524.071282
9000,521.906531
9000,520.161850
9000,522.616880
9000,520.146287
10000,522.494278
10000,526.616946
10000,525.359129
10000,525.763894
10000,525.123961
10000,525.905073
10000,526.692733
10000,526.702521
10000,525.261079
10000,527.486195
11000,570.454116
11000,569.989304
11000,567.681690
11000,716.561736
11000,570.158150
11000,570.753457
11000,572.782678
11000,571.309978
11000,571.426953
11000,569.846954
12000,613.951646
12000,618.762144
12000,614.231857
12000,614.008894
12000,615.181440
12000,613.504332
12000,616.636651
12000,610.157864
12000,615.113833
12000,611.900328
13000,587.246793
13000,656.967704
13000,556.859769
13000,609.044624
13000,719.113262
13000,556.790716
13000,606.075067
13000,660.394519
13000,654.898400
13000,558.727074
14000,556.669078
14000,551.843364
14000,593.521770
14000,557.139526
14000,556.070210
14000,556.774335
14000,556.966416
14000,556.555775
14000,555.497611
14000,548.621533
15000,550.994608
15000,549.000396
15000,549.344211
15000,549.938996
15000,551.482891
15000,548.870158
15000,549.322859
15000,548.432246
15000,546.548821
15000,550.516405
16000,852.899476
16000,851.792578
16000,854.144471
16000,853.725591
16000,858.505111
16000,850.850508
16000,851.901084
16000,852.768867
16000,858.068958
16000,852.150456
17000,648.292235
17000,574.312937
17000,573.009849
17000,900.813869
17000,845.043994
17000,595.487713
17000,845.801517
17000,900.050654
17000,898.315028
17000,562.911791
18000,955.642442
18000,905.276654
18000,655.305891
18000,657.291954
18000,654.527328
18000,653.829588
18000,954.501045
18000,953.383993
18000,952.956882
18000,605.346931
19000,716.992583
19000,717.116896
19000,716.973958
19000,1004.221443
19000,1005.914786
19000,715.956924
19000,717.154133
19000,598.647895
19000,717.271884
19000,718.082243
20000,595.759393
20000,596.254789
20000,595.395443
20000,687.115600
20000,589.086082
20000,595.635733
20000,595.802971
20000,778.171795
20000,624.628148
20000,782.938056
