size,gflops
2000,589.653693
2000,550.302081
2000,579.595402
2000,541.690260
2000,515.834940
2000,568.827870
2000,553.479201
2000,536.772434
2000,552.931340
2000,552.981886
3000,1014.986826
3000,994.489900
3000,963.291889
3000,967.658037
3000,929.273813
3000,973.657463
3000,939.314606
3000,901.800565
3000,889.332648
3000,965.368030
4000,1457.868118
4000,1350.547852
4000,1330.880493
4000,1404.969540
4000,1295.361078
4000,1284.779715
4000,1208.803915
4000,1279.404540
4000,1161.540596
4000,1308.704081
5000,1647.630537
5000,1686.423534
5000,1701.910024
5000,1594.282530
5000,1645.342523
5000,1710.101851
5000,1598.065589
5000,1705.979404
5000,1559.062812
5000,1831.481544
6000,2021.419324
6000,2068.075641
6000,1968.661847
6000,1805.546511
6000,2062.665723
6000,2181.430813
6000,2030.652340
6000,2002.021903
6000,2173.371177
6000,2155.554083
7000,2055.669299
7000,2310.610896
7000,2309.498523
7000,2176.773939
7000,1956.502305
7000,2657.637641
7000,2314.596962
7000,2293.916605
7000,2111.150050
7000,2540.008842
8000,2003.584761
8000,1976.172428
8000,2148.304870
8000,2254.185700
8000,2174.988380
8000,2168.918903
8000,2134.663407
8000,2141.022772
8000,1910.905095
8000,2265.464808
9000,1809.103206
9000,1758.987113
9000,1666.832321
9000,1765.019461
9000,1745.507518
9000,1800.893205
9000,1728.038493
9000,1798.514915
9000,1699.038259
9000,1794.724838
10000,1606.760237
10000,1593.753745
10000,1590.173992
10000,1601.098928
10000,1522.047941
10000,1608.730030
10000,1657.010029
10000,1651.312684
10000,1576.679514
10000,1619.261692
11000,1342.823612
11000,1375.482491
11000,1362.633892
11000,1289.783019
11000,1330.006765
11000,1331.142886
11000,1324.680452
11000,1324.083608
11000,1335.995481
11000,1275.411641
12000,1371.869672
12000,1371.832704
12000,1337.543867
12000,1338.549758
12000,1355.954931
12000,1347.901136
12000,1273.376755
12000,1351.026039
12000,1356.376042
12000,1363.593452
13000,1322.182355
13000,1318.995093
13000,1321.421468
13000,1319.077003
13000,1321.422095
13000,1324.416722
13000,1316.116723
13000,1317.703035
13000,1328.660052
13000,1327.466958
14000,1354.437728
14000,1354.128917
14000,1359.970078
14000,1358.308446
14000,1356.227153
14000,1355.729006
14000,1358.371672
14000,1347.414701
14000,1507.487956
14000,1355.776333
15000,1420.318715
15000,1417.968779
15000,1419.955182
15000,1415.527381
15000,1412.247034
15000,1822.794437
15000,1327.127179
15000,1418.145822
15000,1901.649286
15000,1416.613855
16000,1347.555148
16000,1357.984198
16000,1354.578795
16000,1833.523627
16000,1994.459389
16000,1350.438875
16000,1347.866036
16000,1489.224331
16000,1499.039539
16000,1351.803856
17000,1355.859784
17000,1556.620853
17000,1346.369029
17000,1352.313929
17000,1358.494496
17000,1350.170306
17000,1587.258158
17000,1356.249657
17000,1352.979321
17000,1358.753498
18000,1718.151554
18000,1371.974394
18000,1700.348978
18000,1379.032683
18000,1704.227774
18000,1707.652054
18000,1361.387861
18000,1704.522372
18000,1696.522415
18000,1381.572510
19000,1329.052462
19000,1528.278957
19000,1809.184655
19000,1528.128825
19000,1333.477559
19000,1519.921604
19000,1332.980343
19000,1325.556854
19000,1513.449416
19000,1336.350470
20000,2060.344313
20000,1935.619459
20000,1933.796111
20000,1906.045982
20000,1916.592120
20000,1927.065249
20000,1438.582903
20000,1920.509603
20000,1415.563711
20000,1411.222336
