size,gflops
2000,604.761628
2000,610.929693
2000,582.179154
2000,505.202289
2000,554.174449
2000,560.095225
2000,567.532240
2000,571.624557
2000,551.825293
2000,541.722099
3000,977.760458
3000,965.547633
3000,891.920214
3000,890.683495
3000,942.059240
3000,878.673396
3000,912.786095
3000,923.096284
3000,967.080681
3000,933.706057
4000,1335.966175
4000,1218.054649
4000,1347.141832
4000,1247.256766
4000,1316.991309
4000,1327.289300
4000,1354.734526
4000,1184.190389
4000,1280.112074
4000,1194.280315
5000,1707.998651
5000,1778.629205
5000,1582.625887
5000,1632.958442
5000,1475.987118
5000,1676.412850
5000,1625.322335
5000,1577.300361
5000,1687.062521
5000,1661.531935
6000,1956.630940
6000,1855.607110
6000,1784.864365
6000,2083.139285
6000,2050.512233
6000,1850.473516
6000,2173.619388
6000,2029.128792
6000,2103.020561
6000,2187.145538
7000,1836.932129
7000,2130.274661
7000,2526.914550
7000,2475.390719
7000,2093.498991
7000,2404.140395
7000,2356.426052
7000,2201.370289
7000,2323.716616
7000,2187.984915
8000,1900.157321
8000,2234.703458
8000,2088.937276
8000,2079.530178
8000,2365.558048
8000,2201.857203
8000,2336.947173
8000,2342.906650
8000,2117.900641
8000,2179.337750
9000,1734.574912
9000,1826.106988
9000,1771.347621
9000,1988.749470
9000,1900.755209
9000,1718.855797
9000,1700.400293
9000,1750.346201
9000,1855.043704
9000,1816.640214
10000,1524.929042
10000,1633.576635
10000,1523.946212
10000,1615.051629
10000,1623.319515
10000,1584.627481
10000,1649.259136
10000,1545.268344
10000,1580.450770
10000,1557.804906
11000,1341.839978
11000,1325.321733
11000,1348.959630
11000,1369.701470
11000,1370.016671
11000,1363.171130
11000,1338.995526
11000,1356.126732
11000,1320.783905
11000,1294.751901
12000,1329.053130
12000,1366.907413
12000,1350.420576
12000,1357.927029
12000,1350.386741
12000,1356.840430
12000,1353.200701
12000,1349.517952
12000,1353.318324
12000,1347.978813
13000,1323.411068
13000,1329.837499
13000,1331.390560
13000,1323.464004
13000,1324.458677
13000,1322.537438
13000,1329.713935
13000,1311.412632
13000,1321.617060
13000,1329.226840
14000,1344.218654
14000,1354.509232
14000,1512.820611
14000,1507.425493
14000,1508.941414
14000,1356.847948
14000,1507.770315
14000,1511.347641
14000,1506.312184
14000,1354.205540
15000,1410.075033
15000,1408.130288
15000,1414.753606
15000,1408.065281
15000,1413.047603
15000,1405.400445
15000,1412.829584
15000,1408.550879
15000,1412.831057
15000,1417.902217
16000,1952.370009
16000,1352.017952
16000,1347.623602
16000,1346.709286
16000,1349.859022
16000,1956.118732
16000,1963.427928
16000,1681.312304
16000,1905.594456
16000,1351.503125
17000,1339.893171
17000,1356.996213
17000,1347.008678
17000,1325.785860
17000,1357.273034
17000,1351.566319
17000,1352.185917
17000,1354.651970
17000,1567.364947
17000,1342.892001
18000,1686.829434
18000,1370.281847
18000,1688.304065
18000,1694.721917
18000,1701.888318
18000,1697.158412
18000,1372.727647
18000,1374.982212
18000,1691.254568
18000,1366.133724
19000,1328.998700
19000,1330.934076
19000,1490.494310
19000,1533.715014
19000,1544.958095
19000,1340.258361
19000,1326.155672
19000,1332.915707
19000,1534.016775
19000,1905.632438
20000,1341.081038
20000,1339.387945
20000,1378.108338
20000,1485.308479
20000,1430.281729
20000,1918.441520
20000,1951.746568
20000,2001.614036
20000,1785.882587
20000,1945.738010
