size,gflops
2000,332.231639
2000,321.381936
2000,318.198399
2000,299.438392
2000,313.630497
2000,299.257768
2000,316.419098
2000,313.527120
2000,316.075686
2000,314.147187
3000,325.858728
3000,318.335238
3000,311.806508
3000,316.458552
3000,325.571543
3000,301.586472
3000,294.341481
3000,306.040446
3000,291.402224
3000,310.650686
4000,427.592427
4000,409.198773
4000,410.684299
4000,414.741048
4000,433.660906
4000,398.834548
4000,435.672772
4000,413.695786
4000,410.447624
4000,432.273430
5000,477.527990
5000,496.666150
5000,483.445428
5000,476.123122
5000,455.261280
5000,463.557657
5000,477.849746
5000,480.861461
5000,488.202855
5000,472.648120
6000,450.577319
6000,469.411750
6000,448.322213
6000,479.230058
6000,484.137373
6000,474.118791
6000,460.553625
6000,463.979764
6000,453.481239
6000,472.189995
7000,491.042442
7000,497.076071
7000,490.315132
7000,485.251074
7000,493.377230
7000,487.378680
7000,494.369987
7000,491.411943
7000,493.291929
7000,485.856873
8000,527.308857
8000,528.709112
8000,530.214682
8000,530.640028
8000,530.608969
8000,524.804940
8000,531.084191
8000,527.553356
8000,531.489610
8000,534.922805
9000,569.097324
9000,571.751378
9000,555.744180
9000,556.437994
9000,558.146688
9000,598.023973
9000,565.895357
9000,560.257275
9000,594.461723
9000,555.230400
10000,667.362389
10000,668.850412
10000,627.851963
10000,619.179405
10000,620.996642
10000,624.703550
10000,646.943416
10000,616.554614
10000,666.022986
10000,606.859854
11000,700.341391
11000,725.484578
11000,729.926936
11000,718.375347
11000,731.488815
11000,723.172332
11000,704.980094
11000,692.565451
11000,703.579272
11000,699.964663
12000,778.875398
12000,764.390738
12000,753.287995
12000,760.400470
12000,765.073196
12000,749.516207
12000,752.083112
12000,758.925235
12000,784.647284
12000,774.545542
13000,677.560578
13000,868.040088
13000,849.299041
13000,838.241168
13000,869.440698
13000,680.352963
13000,837.945294
13000,853.008048
13000,810.046591
13000,840.847576
14000,688.073925
14000,699.258178
14000,683.750792
14000,693.203901
14000,692.674727
14000,689.634623
14000,693.425659
14000,675.278329
14000,687.251699
14000,686.259113
15000,726.143558
15000,729.762791
15000,747.055521
15000,710.342080
15000,709.241780
15000,720.372023
15000,1041.207840
15000,711.929615
15000,730.673066
15000,725.413301
16000,1104.686846
16000,1056.772549
16000,1032.295099
16000,1062.318201
16000,1010.812150
16000,1068.894445
16000,1084.079142
16000,1055.086953
16000,1077.475400
16000,1100.586985
17000,826.955211
17000,1003.901151
17000,833.932418
17000,962.007904
17000,838.583707
17000,911.103351
17000,831.229027
17000,846.551250
17000,825.032237
17000,821.056478
18000,1165.639528
18000,1182.843994
18000,1149.349505
18000,1115.688005
18000,867.875802
18000,1167.428419
18000,1196.580131
18000,874.255258
18000,1228.193197
18000,1100.249798
19000,962.659337
19000,967.243138
19000,970.070595
19000,974.194933
19000,958.304780
19000,967.063340
19000,961.365686
19000,968.405075
19000,970.694073
19000,971.233772
20000,1030.679143
20000,1026.612725
20000,773.375277
20000,784.999134
20000,1026.526071
20000,789.324899
20000,1025.522125
20000,1025.008090
20000,1018.259299
20000,1012.462737
