size,gflops
2000,363.268505
2000,373.692436
2000,323.362851
2000,313.616321
2000,309.615376
2000,329.618403
2000,328.118888
2000,326.277381
2000,315.209248
2000,319.936953
3000,308.744287
3000,291.059798
3000,287.762885
3000,306.120714
3000,308.732105
3000,318.249828
3000,322.788829
3000,300.475357
3000,314.162313
3000,272.621201
4000,442.462558
4000,429.699196
4000,413.470157
4000,421.440372
4000,437.272113
4000,431.370228
4000,432.677897
4000,436.051150
4000,444.564415
4000,430.755682
5000,486.255022
5000,478.469895
5000,464.059065
5000,348.464528
5000,482.354563
5000,491.103408
5000,479.746916
5000,479.385888
5000,481.806122
5000,455.668312
6000,483.492902
6000,476.874142
6000,473.506725
6000,484.110721
6000,470.806117
6000,447.212514
6000,481.006191
6000,468.776317
6000,480.874252
6000,473.200731
7000,494.474227
7000,491.740560
7000,494.101000
7000,487.853185
7000,498.770505
7000,494.281688
7000,489.996183
7000,494.149215
7000,495.129012
7000,495.838922
8000,418.146576
8000,534.768939
8000,535.120873
8000,525.661161
8000,533.608058
8000,526.596961
8000,532.544444
8000,532.834273
8000,531.344098
8000,527.168104
9000,582.335283
9000,576.253726
9000,567.612588
9000,595.322037
9000,558.052852
9000,556.395470
9000,603.655832
9000,547.030232
9000,549.810013
9000,555.901824
10000,622.223912
10000,727.398894
10000,622.127468
10000,638.066803
10000,590.357070
10000,621.007682
10000,632.763437
10000,626.125274
10000,668.676980
10000,615.467746
11000,740.338050
11000,740.416830
11000,694.534009
11000,668.742014
11000,747.100039
11000,706.835193
11000,701.949098
11000,752.764565
11000,717.865182
11000,686.944624
12000,785.616092
12000,754.439701
12000,760.728016
12000,777.122462
12000,779.957767
12000,788.173566
12000,780.908606
12000,966.780096
12000,761.935861
12000,758.294033
13000,667.748321
13000,663.832770
13000,838.905155
13000,678.238176
13000,676.700855
13000,855.179301
13000,677.080945
13000,845.346495
13000,679.855967
13000,681.487164
14000,689.034173
14000,697.101858
14000,716.801281
14000,679.678428
14000,676.066789
14000,665.106718
14000,696.768907
14000,678.655654
14000,689.336513
14000,722.372418
15000,704.819787
15000,732.362208
15000,1007.194387
15000,720.447621
15000,721.449716
15000,717.090808
15000,736.178138
15000,723.732342
15000,716.281538
15000,722.863852
16000,1093.027507
16000,1009.013619
16000,1042.143866
16000,997.937672
16000,1124.647409
16000,1041.703687
16000,1098.254707
16000,1048.066310
16000,1128.699070
16000,1060.687428
17000,817.115925
17000,833.996460
17000,950.042132
17000,954.162752
17000,829.019765
17000,1054.383151
17000,952.257483
17000,834.413045
17000,835.733542
17000,833.180408
18000,1169.276339
18000,1221.539098
18000,884.430750
18000,869.567765
18000,1207.311631
18000,1170.458337
18000,1208.820579
18000,1195.908856
18000,880.726527
18000,1165.124301
19000,960.835419
19000,978.529974
19000,965.210049
19000,970.341756
19000,973.860290
19000,1185.568525
19000,961.320958
19000,986.736078
19000,959.274261
19000,973.318200
20000,789.883617
20000,783.484688
20000,1019.041835
20000,783.096942
20000,779.454107
20000,789.541517
20000,782.826762
20000,781.173359
20000,791.175739
20000,782.190682
