size,gflops
2000,601.817542
2000,497.682603
2000,519.285518
2000,503.584927
2000,509.608347
2000,511.568907
2000,497.804619
2000,508.032066
2000,503.334402
2000,507.648438
3000,547.533891
3000,550.036824
3000,550.695565
3000,554.346504
3000,546.478906
3000,531.346099
3000,536.691794
3000,500.205260
3000,496.828719
3000,524.476431
4000,810.265789
4000,788.204189
4000,775.861903
4000,767.062237
4000,742.898530
4000,762.859917
4000,743.043095
4000,788.997878
4000,732.113357
4000,795.562605
5000,753.346856
5000,881.261094
5000,846.823216
5000,842.759682
5000,835.062779
5000,844.425284
5000,802.179078
5000,860.214056
5000,779.354785
5000,859.202789
6000,1066.340619
6000,1076.404223
6000,1113.089037
6000,1058.218649
6000,1119.347140
6000,1152.515359
6000,1018.872324
6000,1024.783020
6000,1125.124376
6000,1134.115807
7000,1045.470639
7000,1121.573545
7000,1136.186198
7000,1138.657987
7000,1110.965313
7000,1125.928215
7000,1132.190858
7000,1131.397202
7000,1140.576564
7000,1138.672139
8000,1201.276866
8000,1210.153441
8000,1214.768210
8000,1208.705286
8000,1236.790743
8000,1188.582414
8000,1189.680821
8000,1240.324525
8000,1198.956966
8000,1235.864482
9000,1137.910614
9000,1143.180301
9000,1171.594689
9000,1158.944806
9000,1149.498523
9000,1145.655396
9000,1174.347895
9000,1159.301624
9000,1170.966735
9000,1163.529964
10000,1241.361660
10000,1231.245387
10000,1230.174452
10000,1238.308644
10000,1232.370496
10000,1223.941342
10000,1233.741260
10000,1239.270013
10000,1235.006290
10000,1216.073994
11000,1122.476159
11000,948.546209
11000,1089.725235
11000,1028.046363
11000,1086.092335
11000,1282.908251
11000,1011.577646
11000,1323.017892
11000,1323.509831
11000,1089.047376
12000,1329.985712
12000,1391.923302
12000,1271.937005
12000,1363.659461
12000,1388.481128
12000,1366.715669
12000,1396.579253
12000,1371.617471
12000,1320.678015
12000,1301.380318
13000,1344.036576
13000,1518.241789
13000,1381.618529
13000,1237.211857
13000,1518.828791
13000,1367.413381
13000,1450.627325
13000,1332.396464
13000,1322.132200
13000,1288.423084
14000,1533.589909
14000,1639.500102
14000,1635.571122
14000,1635.381168
14000,1547.984000
14000,1635.586589
14000,1433.460069
14000,1574.674428
14000,1609.699743
14000,1506.198214
15000,1431.625895
15000,1539.417025
15000,1791.627175
15000,1959.365914
15000,1615.911632
15000,1659.247126
15000,1455.281921
15000,1742.010543
15000,1615.295829
15000,1794.279951
16000,1539.369949
16000,1537.512279
16000,1825.231152
16000,1548.063590
16000,1775.723576
16000,1535.200257
16000,1839.254110
16000,1792.443821
16000,1554.790130
16000,1543.197796
17000,1897.221586
17000,1550.659908
17000,1556.557945
17000,1510.152952
17000,1521.372591
17000,1554.396247
17000,1826.647197
17000,1566.819620
17000,1560.308917
17000,1562.580924
18000,2028.848191
18000,1633.665891
18000,2109.796545
18000,1620.217346
18000,1631.431186
18000,1632.183784
18000,1621.286738
18000,2244.617321
18000,2128.615165
18000,2135.775767
19000,1756.246961
19000,1692.628265
19000,1734.686684
19000,1844.429608
19000,1933.920944
19000,2230.605598
19000,2029.043581
19000,1759.094893
19000,1758.845053
19000,1766.037568
20000,2425.108439
20000,2398.495132
20000,1730.611748
20000,1995.210812
20000,2333.222360
20000,1808.729080
20000,1746.100026
20000,1726.436243
20000,2057.909111
20000,2376.689965
