size,gflops
2000,584.915747
2000,587.202078
2000,556.607796
2000,504.954487
2000,498.696858
2000,507.804978
2000,506.075099
2000,495.760074
2000,512.142269
2000,512.638756
3000,555.143750
3000,538.923758
3000,499.092530
3000,496.640343
3000,545.728374
3000,503.024500
3000,541.895273
3000,533.376925
3000,532.705682
3000,544.102078
4000,795.974137
4000,717.338558
4000,784.168967
4000,721.727624
4000,785.359635
4000,788.646094
4000,792.503703
4000,753.970692
4000,779.827871
4000,756.686816
5000,844.753109
5000,865.054570
5000,817.409207
5000,872.043900
5000,844.687921
5000,866.837664
5000,860.764489
5000,869.995058
5000,840.481098
5000,851.221533
6000,1076.000552
6000,1125.151491
6000,1098.519727
6000,1144.780374
6000,1108.556220
6000,1139.517867
6000,1134.790798
6000,1166.230277
6000,1076.245491
6000,1125.718742
7000,1092.989459
7000,1116.896510
7000,1115.452291
7000,1099.923896
7000,1070.637353
7000,1093.368214
7000,1110.843244
7000,1126.357489
7000,1130.068523
7000,1161.441820
8000,1182.132934
8000,1173.354225
8000,1222.010863
8000,1206.780681
8000,1215.469178
8000,1230.114343
8000,1228.914851
8000,1235.858483
8000,1197.050334
8000,1177.794499
9000,1157.221081
9000,1162.984600
9000,1146.089075
9000,1166.537441
9000,1162.055164
9000,1142.880008
9000,1150.971680
9000,1166.332961
9000,1163.497707
9000,1172.241878
10000,1233.626388
10000,1237.628331
10000,1228.251277
10000,1226.868666
10000,1245.077853
10000,1232.544258
10000,1241.989606
10000,1222.031198
10000,1246.524451
10000,1238.669479
11000,954.606074
11000,1335.370572
11000,1035.955770
11000,950.759170
11000,1127.879429
11000,1068.132283
11000,1306.455974
11000,1324.025479
11000,1103.347684
11000,1139.402160
12000,1374.048191
12000,1244.706215
12000,1376.175454
12000,1196.655699
12000,1192.204996
12000,1154.396272
12000,1235.236464
12000,1378.370755
12000,1375.641404
12000,1354.055352
13000,1485.720449
13000,1382.175043
13000,1505.853712
13000,1336.097421
13000,1350.071968
13000,1486.740591
13000,1354.703563
13000,1300.890108
13000,1619.896932
13000,1339.679557
14000,1603.005966
14000,1495.803284
14000,1503.773152
14000,1424.981337
14000,1568.069180
14000,1541.123196
14000,1447.739346
14000,1587.946651
14000,1632.774372
14000,1447.292592
15000,1626.185622
15000,1755.010991
15000,1670.237345
15000,2278.600145
15000,1869.186657
15000,1467.162401
15000,1567.590911
15000,1543.086979
15000,2009.948064
15000,1750.726655
16000,1489.660040
16000,1545.424279
16000,1550.974916
16000,1551.948648
16000,1630.529310
16000,1535.356188
16000,1811.100050
16000,1530.234656
16000,1480.729020
16000,1895.431058
17000,1539.524841
17000,1797.511086
17000,1545.550020
17000,1561.984787
17000,1557.955547
17000,1540.782279
17000,1506.359600
17000,1557.974788
17000,1551.397539
17000,1560.476606
18000,1633.149186
18000,2108.541222
18000,2003.097506
18000,1635.738793
18000,2065.724683
18000,1976.253958
18000,2136.812217
18000,1630.523423
18000,1644.229119
18000,1635.048734
19000,1959.111700
19000,1943.785107
19000,1759.811702
19000,2129.291561
19000,2184.886140
19000,2114.372075
19000,1621.750101
19000,1756.750345
19000,1892.300814
19000,1737.502508
20000,1813.516732
20000,2269.686570
20000,1788.447196
20000,1707.298178
20000,2409.049467
20000,1804.680849
20000,2547.588503
20000,2353.618488
20000,2546.800822
20000,2370.356842
