size,gflops
2000,782.090059
2000,928.392883
2000,900.689168
2000,911.511957
2000,911.173354
2000,916.385126
2000,886.385539
2000,910.401525
2000,900.025555
2000,886.565251
3000,1197.082364
3000,1205.326014
3000,1181.555240
3000,1218.897269
3000,1215.347352
3000,1211.624242
3000,1208.798333
3000,1202.706142
3000,1218.767585
3000,1203.917762
4000,1453.133900
4000,1445.826251
4000,1453.244239
4000,1450.211777
4000,1448.150832
4000,1455.012464
4000,1449.787548
4000,1452.053055
4000,1449.098803
4000,1448.258482
5000,1491.093330
5000,1487.367659
5000,1488.715492
5000,1488.761388
5000,1456.955605
5000,1487.965564
5000,1487.651325
5000,1489.578930
5000,1490.882043
5000,1487.303506
6000,1564.236162
6000,1563.792872
6000,1563.725495
6000,1563.989218
6000,1565.236401
6000,1566.860358
6000,1551.821684
6000,1561.093807
6000,1565.864150
6000,1563.590170
7000,1545.448766
7000,1545.131510
7000,1544.477411
7000,1526.185401
7000,1542.645096
7000,1483.938792
7000,1545.683865
7000,1546.389816
7000,1544.852151
7000,1544.817195
8000,1599.206956
8000,1599.978775
8000,1600.561114
8000,1578.285597
8000,1598.649478
8000,1599.426808
8000,1596.921913
8000,1599.131769
8000,1597.066249
8000,1599.442422
9000,1609.032083
9000,1607.853093
9000,1606.923409
9000,1608.426741
9000,1589.306714
9000,1601.049665
9000,1605.807907
9000,1578.855881
9000,1605.682672
9000,1606.598356
10000,1542.041096
10000,1569.918837
10000,1572.477676
10000,1570.101977
10000,1570.238336
10000,1569.335284
10000,1569.001934
10000,1565.723002
10000,1568.426716
10000,1570.257979
11000,1586.662537
11000,1587.251310
11000,1595.430576
11000,1592.884045
11000,1590.177471
11000,1591.803055
11000,1581.764949
11000,1586.619664
11000,1592.469147
11000,1597.325246
12000,1595.854112
12000,1598.492940
12000,1595.300212
12000,1598.673197
12000,1596.577110
12000,1596.922802
12000,1596.586456
12000,1596.564982
12000,1598.353803
12000,1598.251523
13000,1604.073255
13000,1600.404127
13000,1602.692390
13000,1601.181333
13000,1597.381787
13000,1601.108967
13000,1601.842356
13000,1603.166408
13000,1604.591165
13000,1601.233745
14000,1600.978749
14000,1598.711913
14000,1596.940140
14000,1598.171472
14000,1600.005061
14000,1599.653312
14000,1597.607502
14000,1599.174322
14000,1600.960863
14000,1598.931852
15000,1599.757346
15000,1598.173403
15000,1599.092485
15000,1597.809531
15000,1600.169370
15000,1593.947753
15000,1599.560563
15000,1599.067669
15000,1599.914826
15000,1600.079793
16000,1616.703808
16000,1616.115449
16000,1616.638739
16000,1613.301826
16000,1616.244384
16000,1613.160807
16000,1616.558708
16000,1610.698489
16000,1616.317759
16000,1616.562079
17000,1604.924998
17000,1608.036548
17000,1604.839222
17000,1608.160518
17000,1607.205018
17000,1607.159286
17000,1606.536373
17000,1607.317531
17000,1604.709452
17000,1605.310931
18000,1622.801749
18000,1623.288895
18000,1623.481347
18000,1620.220105
18000,1618.380693
18000,1624.345064
18000,1622.270924
18000,1623.634799
18000,1624.179490
18000,1620.821515
19000,1612.613703
19000,1612.868280
19000,1613.862890
19000,1613.471455
19000,1611.258856
19000,1612.553005
19000,1611.137054
19000,1614.787898
19000,1611.664096
19000,1612.292090
20000,1608.415230
20000,1608.169222
20000,1608.536404
20000,1608.039002
20000,1606.956387
20000,1607.131244
20000,1607.611321
20000,1606.796670
20000,1607.938734
20000,1608.122751
