size,gflops
2000,163.621003
2000,942.672270
2000,949.384232
2000,935.185234
2000,941.102290
2000,936.941276
2000,941.083635
2000,941.488768
2000,944.174948
2000,953.137278
3000,1170.676835
3000,1160.051487
3000,1158.870352
3000,1170.968617
3000,1165.033035
3000,1160.790983
3000,1167.642928
3000,1171.938658
3000,1159.948674
3000,1173.891224
4000,1252.938189
4000,1242.631728
4000,1240.686371
4000,1239.560912
4000,1242.550473
4000,1256.941706
4000,1248.520174
4000,1258.143048
4000,1237.923787
4000,1237.807116
5000,1278.269355
5000,1275.247158
5000,1275.511896
5000,1274.303569
5000,1284.900249
5000,1288.786553
5000,1275.565528
5000,1273.386390
5000,1286.828610
5000,1277.026054
6000,1338.159223
6000,1338.027356
6000,1335.857184
6000,1339.387128
6000,1337.451706
6000,1337.504266
6000,1340.667172
6000,1338.757782
6000,1338.128683
6000,1342.105188
7000,1338.500755
7000,1338.300956
7000,1341.814430
7000,1337.167118
7000,1338.987256
7000,1331.636981
7000,1334.750649
7000,1346.087141
7000,1337.940451
7000,1343.056554
8000,1378.147748
8000,1386.036271
8000,1383.674451
8000,1376.486710
8000,1381.296526
8000,1380.669432
8000,1380.354362
8000,1383.335615
8000,1381.753471
8000,1378.802792
9000,1333.562557
9000,1358.188341
9000,1363.111468
9000,1349.798578
9000,1335.695566
9000,1350.724081
9000,1344.516412
9000,1345.272907
9000,1349.104494
9000,1348.883362
10000,1390.375871
10000,1377.043295
10000,1390.578892
10000,1386.277973
10000,1387.102409
10000,1384.969517
10000,1367.882110
10000,1388.475933
10000,1390.235700
10000,1373.071928
11000,1371.024551
11000,1370.861610
11000,1372.248454
11000,1378.310445
11000,1374.918505
11000,1374.305863
11000,1371.795180
11000,1372.129825
11000,1372.546090
11000,1374.317549
12000,1460.834548
12000,1472.592614
12000,1462.566699
12000,1484.718200
12000,1458.547565
12000,1459.143304
12000,1439.552512
12000,1465.695457
12000,1460.428095
12000,1473.765710
13000,1512.424062
13000,1475.266025
13000,1476.292115
13000,1498.850932
13000,1490.637235
13000,1503.431603
13000,1469.339234
13000,1494.015578
13000,1478.028361
13000,1501.128818
14000,1382.156354
14000,1380.587271
14000,1383.605351
14000,1380.205160
14000,1384.256146
14000,1380.166280
14000,1383.124075
14000,1386.246843
14000,1385.346512
14000,1385.190223
15000,1368.767073
15000,1360.732497
15000,1364.971780
15000,1367.737059
15000,1370.557224
15000,1369.829539
15000,1365.057334
15000,1366.336924
15000,1363.642283
15000,1368.660121
16000,1505.178691
16000,1522.309262
16000,1515.078942
16000,1505.011110
16000,1518.427025
16000,1505.216229
16000,1504.133661
16000,1508.113751
16000,1500.695220
16000,1516.950201
17000,1420.372697
17000,1420.320882
17000,1414.392570
17000,1423.206777
17000,1425.017771
17000,1420.818588
17000,1425.778907
17000,1414.334537
17000,1420.806611
17000,1420.894678
18000,1568.360547
18000,1568.267123
18000,1581.116368
18000,1555.157721
18000,1569.457997
18000,1575.732597
18000,1570.493901
18000,1570.543372
18000,1598.249400
18000,1572.706954
19000,1558.688058
19000,1454.877165
19000,1449.619989
19000,1423.590081
19000,1426.796887
19000,1526.609674
19000,1595.520657
19000,1433.383405
19000,1595.670214
19000,1444.096076
20000,1558.316361
20000,1564.616365
20000,1539.180134
20000,1554.876560
20000,1548.285100
20000,1546.341096
20000,1552.976367
20000,1543.087339
20000,1551.354562
20000,1557.372830
