size,gflops
2000,722.469911
2000,1245.621543
2000,1255.695757
2000,1250.874342
2000,1246.513366
2000,1265.197793
2000,1247.663652
2000,1254.438360
2000,1256.524405
2000,1270.291618
3000,2266.804102
3000,2241.579972
3000,2227.589154
3000,2234.306510
3000,2260.111456
3000,2246.946961
3000,2261.557785
3000,2258.263740
3000,2247.084595
3000,2261.555891
4000,2648.619635
4000,2646.362287
4000,2651.730299
4000,2647.590282
4000,2606.930059
4000,2666.368200
4000,2649.584739
4000,2638.557019
4000,2646.488351
4000,2650.762478
5000,2741.142950
5000,2746.823337
5000,2748.637759
5000,2743.636122
5000,2726.889803
5000,2744.357450
5000,2740.152470
5000,2756.365261
5000,2746.684908
5000,2741.449881
6000,2922.588683
6000,2910.591540
6000,2914.941737
6000,2912.568791
6000,2919.143515
6000,2913.830406
6000,2925.460664
6000,2868.943246
6000,2915.379215
6000,2914.263521
7000,2869.489394
7000,2867.877618
7000,2868.601816
7000,2868.654861
7000,2864.317585
7000,2861.818086
7000,2865.607942
7000,2849.979426
7000,2869.825118
7000,2862.193466
8000,2996.850465
8000,2994.743579
8000,2980.956373
8000,2987.033474
8000,2991.358826
8000,2995.362708
8000,2828.630397
8000,2997.312467
8000,2993.673715
8000,2991.665658
9000,3049.265840
9000,3044.144263
9000,3047.258210
9000,3042.697390
9000,3042.683668
9000,3042.998387
9000,3046.687744
9000,3043.145237
9000,3040.009921
9000,3046.035219
10000,3083.749155
10000,3084.786777
10000,3033.673170
10000,3087.856936
10000,3096.650968
10000,3099.150758
10000,3098.327832
10000,3092.304633
10000,3090.349576
10000,3085.256978
11000,3143.359605
11000,3143.995455
11000,3141.886589
11000,3147.170967
11000,3150.879177
11000,3148.134848
11000,3152.030777
11000,3146.612843
11000,3143.921262
11000,3151.373214
12000,3136.138942
12000,3129.727232
12000,3131.962868
12000,3134.271790
12000,3138.672613
12000,3131.923683
12000,3125.020351
12000,3132.007303
12000,3137.827299
12000,3131.176196
13000,3150.253812
13000,3147.608548
13000,3151.606062
13000,3148.978354
13000,3142.770624
13000,3139.628344
13000,3150.161934
13000,3146.810392
13000,3153.581304
13000,3147.636985
14000,3169.955493
14000,3173.361378
14000,3175.186734
14000,3179.666336
14000,3179.332126
14000,3175.595434
14000,3180.974969
14000,3178.026462
14000,3182.336038
14000,3136.459090
15000,3118.028500
15000,3061.369961
15000,3118.987231
15000,3116.553561
15000,3115.873178
15000,3114.494687
15000,3121.247599
15000,3115.289780
15000,3121.525420
15000,3116.598507
16000,3159.684351
16000,3157.474252
16000,3164.676788
16000,3137.246113
16000,3149.116617
16000,3166.604083
16000,3155.444415
16000,3158.055232
16000,3163.735869
16000,3157.401431
17000,3166.730106
17000,3168.137925
17000,3165.594096
17000,3164.354357
17000,3168.194892
17000,3157.746254
17000,3168.886237
17000,3162.417397
17000,3167.039329
17000,3155.833019
18000,3164.901812
18000,3157.281645
18000,3167.218457
18000,3160.697399
18000,3163.955299
18000,3167.724841
18000,3165.634800
18000,3154.894412
18000,3158.558191
18000,3171.800543
19000,3162.186505
19000,3154.323830
19000,3158.295580
19000,3162.310946
19000,3163.535944
19000,3164.040670
19000,3136.550585
19000,3159.948018
19000,3160.922010
19000,3160.644884
20000,3121.535184
20000,3128.960312
20000,3127.063206
20000,3133.908751
20000,3123.907376
20000,3129.858735
20000,3128.701968
20000,3138.539555
20000,3124.635820
20000,3120.734323
