size,gflops
2000,41.875785
2000,1284.205413
2000,1313.691457
2000,1241.693266
2000,1316.574980
2000,1279.240745
2000,1279.142463
2000,1253.889212
2000,1262.769859
2000,1288.152148
3000,2184.462750
3000,2096.960421
3000,2097.479098
3000,2158.781497
3000,2162.726160
3000,2048.274414
3000,2082.446526
3000,2185.600197
3000,2056.005827
3000,2084.889439
4000,2580.751721
4000,2573.362700
4000,2559.746636
4000,2567.083353
4000,2547.876034
4000,2578.359363
4000,2565.803591
4000,2561.326255
4000,2571.507031
4000,2579.846813
5000,2566.064090
5000,2552.899212
5000,2563.396408
5000,2559.826866
5000,2571.570405
5000,2565.773106
5000,2552.085644
5000,2556.476895
5000,2557.149609
5000,2539.621292
6000,2609.040688
6000,2609.058116
6000,2608.883158
6000,2606.713149
6000,2608.366330
6000,2609.321590
6000,2508.483406
6000,2615.314736
6000,2612.510312
6000,2605.055056
7000,2572.994272
7000,2567.335340
7000,2566.990760
7000,2571.794348
7000,2566.158656
7000,2570.740174
7000,2573.625498
7000,2572.460677
7000,2569.556942
7000,2570.686236
8000,2803.912679
8000,2801.616844
8000,2804.033792
8000,2800.222521
8000,2801.425038
8000,2804.485750
8000,2799.893258
8000,2801.334268
8000,2803.991777
8000,2799.157597
9000,2725.079854
9000,2731.599415
9000,2726.767005
9000,2730.531851
9000,2726.192123
9000,2731.361365
9000,2726.704485
9000,2731.078029
9000,2730.876217
9000,2725.181866
10000,2705.769795
10000,2706.662374
10000,2708.127246
10000,2710.455712
10000,2707.801658
10000,2708.464988
10000,2704.905578
10000,2705.340245
10000,2710.705559
10000,2705.453421
11000,2761.284703
11000,2764.052411
11000,2762.187645
11000,2763.119919
11000,2764.033211
11000,2762.338960
11000,2763.002966
11000,2763.650443
11000,2764.490115
11000,2763.280024
12000,2761.456720
12000,2740.933586
12000,2765.556481
12000,2764.544125
12000,2769.342526
12000,2736.149219
12000,2768.699177
12000,2766.614202
12000,2766.349660
12000,2766.590192
13000,2835.096837
13000,2837.043984
13000,2830.473858
13000,2837.601648
13000,2830.827121
13000,2849.580476
13000,2839.102323
13000,2821.191572
13000,2841.841370
13000,2825.427017
14000,2881.727954
14000,2889.373008
14000,2873.224207
14000,2879.275167
14000,2877.787113
14000,2900.696311
14000,2882.591321
14000,2863.599612
14000,2874.694108
14000,2886.751465
15000,3075.844914
15000,3053.551212
15000,3092.767781
15000,3034.679147
15000,3051.228564
15000,3069.294712
15000,3059.184391
15000,3087.906464
15000,3056.534464
15000,3072.844634
16000,2873.879684
16000,2890.450132
16000,2876.890214
16000,2886.390467
16000,2893.902376
16000,2884.907340
16000,2885.877485
16000,2883.380429
16000,2893.844626
16000,2894.355703
17000,2860.637438
17000,2865.054952
17000,2872.573016
17000,2867.447335
17000,2863.550690
17000,2875.820529
17000,2865.442823
17000,2877.423231
17000,2874.159990
17000,2876.848139
18000,3161.026613
18000,3171.093236
18000,3148.360522
18000,3144.656502
18000,3136.875056
18000,3158.140001
18000,3345.185239
18000,3150.457348
18000,3161.083506
18000,3322.324930
19000,2956.499914
19000,2956.777516
19000,2953.642706
19000,2946.133765
19000,2955.454107
19000,2944.787963
19000,2908.583101
19000,2945.945477
19000,2947.135376
19000,2946.375737
20000,3250.550727
20000,3310.304048
20000,3247.718259
20000,3244.126678
20000,3310.463433
20000,3281.754829
20000,3288.096662
20000,3210.857325
20000,3202.614288
20000,3292.413214
