size,gflops
2000,791.479016
2000,792.005771
2000,794.552666
2000,797.896187
2000,802.309166
2000,808.190281
2000,777.722905
2000,795.321956
2000,798.744852
2000,810.981336
3000,1117.669532
3000,1121.739547
3000,1113.269112
3000,1111.218163
3000,1103.629660
3000,1114.925441
3000,1105.806380
3000,1118.615989
3000,1110.204010
3000,1110.439158
4000,1294.482397
4000,1289.727239
4000,1294.230701
4000,1237.294950
4000,1287.422104
4000,1299.947275
4000,1283.224898
4000,1266.347933
4000,1278.074683
4000,1263.917796
5000,1227.489421
5000,1229.607071
5000,1225.492695
5000,1229.491909
5000,1221.608845
5000,1238.008268
5000,1190.856272
5000,1226.260841
5000,1220.752021
5000,1229.689078
6000,1352.327415
6000,1340.568793
6000,1308.107038
6000,1346.065275
6000,1342.531418
6000,1350.563624
6000,1329.993875
6000,1340.704885
6000,1256.891069
6000,1347.707411
7000,1399.380854
7000,1399.473923
7000,1393.459321
7000,1403.193784
7000,1405.504722
7000,1399.375222
7000,1401.664233
7000,1398.892083
7000,1406.128499
7000,1401.050848
8000,1418.063153
8000,1482.818878
8000,1459.353069
8000,1473.933225
8000,1470.665925
8000,1450.717212
8000,1479.788731
8000,1475.006616
8000,1480.444718
8000,1483.593972
9000,1488.854430
9000,1485.777968
9000,1479.995043
9000,1491.467032
9000,1481.748613
9000,1476.798767
9000,1430.612548
9000,1480.143741
9000,1486.684953
9000,1479.910196
10000,1422.556964
10000,1423.491259
10000,1407.916999
10000,1404.115959
10000,1423.291498
10000,1398.880394
10000,1412.892633
10000,1394.939230
10000,1419.138086
10000,1413.163655
11000,1481.034678
11000,1487.007925
11000,1486.606214
11000,1471.052239
11000,1487.011556
11000,1489.978726
11000,1491.314146
11000,1487.337613
11000,1483.891236
11000,1480.856198
12000,1504.257681
12000,1503.424828
12000,1493.858277
12000,1500.960535
12000,1484.068296
12000,1498.536826
12000,1486.342216
12000,1501.854579
12000,1504.085676
12000,1489.764622
13000,1529.121487
13000,1503.873251
13000,1534.361492
13000,1520.022016
13000,1528.844495
13000,1529.492010
13000,1537.594150
13000,1532.723344
13000,1509.073017
13000,1522.297075
14000,1468.830123
14000,1450.752232
14000,1462.703769
14000,1465.827932
14000,1458.933779
14000,1434.755384
14000,1459.674153
14000,1454.246994
14000,1446.927562
14000,1464.278114
15000,1478.482718
15000,1478.453097
15000,1487.337504
15000,1477.047691
15000,1493.734098
15000,1485.141647
15000,1485.026641
15000,1477.601448
15000,1475.326776
15000,1433.373683
16000,1504.538772
16000,1514.001059
16000,1516.203304
16000,1497.351022
16000,1498.640850
16000,1511.607858
16000,1502.523277
16000,1501.769647
16000,1503.661406
16000,1499.154859
17000,1488.537648
17000,1520.683758
17000,1514.262143
17000,1523.337089
17000,1493.775976
17000,1508.474499
17000,1501.832781
17000,1516.622078
17000,1514.030434
17000,1520.214374
18000,1521.836287
18000,1524.489321
18000,1522.017744
18000,1521.156945
18000,1517.984213
18000,1522.165767
18000,1523.431137
18000,1517.468068
18000,1477.254232
18000,1519.969266
19000,1486.317487
19000,1465.626443
19000,1479.994671
19000,1475.350762
19000,1482.498378
19000,1475.188777
19000,1466.398508
19000,1452.421111
19000,1476.671777
19000,1480.163379
20000,1490.965680
20000,1490.721433
20000,1499.651127
20000,1488.000582
20000,1490.376412
20000,1492.885467
20000,1472.785281
20000,1483.358712
20000,1492.459523
20000,1492.820810
