size,gflops
2000,508.550433
2000,522.027778
2000,516.623091
2000,508.724061
2000,515.028549
2000,520.356425
2000,520.217658
2000,518.692948
2000,519.126553
2000,516.844028
3000,662.387139
3000,654.548779
3000,657.346932
3000,672.956458
3000,668.469686
3000,656.753140
3000,658.842336
3000,655.505973
3000,666.356893
3000,650.500046
4000,762.472391
4000,765.653804
4000,739.890090
4000,760.862833
4000,765.918081
4000,758.988007
4000,755.933977
4000,771.423294
4000,752.792496
4000,764.472877
5000,737.914171
5000,745.283112
5000,749.425753
5000,726.078606
5000,729.622628
5000,743.620544
5000,740.033074
5000,725.463494
5000,721.744440
5000,719.853615
6000,796.605162
6000,797.197229
6000,794.804607
6000,787.692694
6000,788.704699
6000,794.014492
6000,799.624874
6000,800.790521
6000,798.325621
6000,795.508764
7000,825.014471
7000,815.619813
7000,796.505593
7000,786.523504
7000,713.841154
7000,815.268928
7000,687.232476
7000,756.585881
7000,789.549855
7000,831.385856
8000,824.036157
8000,825.407963
8000,844.177338
8000,839.632850
8000,800.751155
8000,866.911152
8000,787.168194
8000,830.917205
8000,819.867475
8000,830.186186
9000,875.010862
9000,871.784897
9000,898.180519
9000,906.204108
9000,932.243869
9000,917.322515
9000,929.824670
9000,877.788883
9000,913.785938
9000,913.622763
10000,860.050893
10000,867.847582
10000,846.236659
10000,802.491500
10000,865.059011
10000,851.709119
10000,830.910854
10000,892.201232
10000,903.321587
10000,858.654846
11000,838.456807
11000,801.669633
11000,777.187957
11000,825.986327
11000,808.066271
11000,871.382640
11000,825.997092
11000,722.924617
11000,815.500414
11000,801.619476
12000,990.770998
12000,1002.009961
12000,987.075717
12000,977.602131
12000,889.681996
12000,978.385168
12000,977.714417
12000,975.728622
12000,964.455149
12000,978.851010
13000,979.387849
13000,1047.050385
13000,1083.475559
13000,1004.659114
13000,1021.314774
13000,1055.110945
13000,992.920334
13000,1069.053199
13000,961.886919
13000,1013.740951
14000,811.345954
14000,832.886114
14000,850.414805
14000,866.938300
14000,758.371738
14000,775.723061
14000,732.018829
14000,813.706432
14000,807.399822
14000,720.164205
15000,865.414629
15000,848.040405
15000,886.931831
15000,840.839918
15000,891.908776
15000,845.325423
15000,858.215550
15000,874.287273
15000,878.165692
15000,879.170800
16000,1046.442911
16000,1099.090378
16000,1084.749176
16000,1079.685284
16000,1072.136931
16000,1073.930991
16000,1010.917536
16000,1100.271841
16000,1079.747076
16000,989.045775
17000,960.733973
17000,1007.391453
17000,950.138936
17000,988.448523
17000,985.810203
17000,952.917332
17000,917.090777
17000,992.061231
17000,1000.281796
17000,946.701357
18000,1097.298967
18000,1125.688057
18000,1095.135760
18000,1057.287693
18000,1171.747407
18000,1106.266893
18000,1126.161153
18000,1134.385035
18000,1086.915453
18000,1104.152266
19000,1106.736792
19000,1154.866973
19000,1065.594937
19000,1157.333643
19000,1177.446247
19000,1073.233939
19000,1173.930605
19000,1158.704027
19000,1035.267813
19000,1051.663471
20000,1091.028954
20000,1088.715183
20000,1119.072663
20000,1090.013768
20000,1094.381774
20000,1078.420560
20000,1056.461301
20000,1135.311583
20000,1115.494389
20000,1122.899015
