size,gflops
2000,1406.584380
2000,1420.491243
2000,1461.677244
2000,1487.237089
2000,1428.241913
2000,1423.811322
2000,1469.525261
2000,1426.572444
2000,1429.933440
2000,1389.738535
3000,2153.906255
3000,2144.985275
3000,2135.443088
3000,2149.385047
3000,2141.145331
3000,2112.060782
3000,2154.625932
3000,2146.177416
3000,2145.013818
3000,2052.626219
4000,2377.592042
4000,2366.151085
4000,2382.636891
4000,1624.995292
4000,2379.644993
4000,2358.190795
4000,2381.045036
4000,2382.789114
4000,2375.698534
4000,2382.684082
5000,2568.827125
5000,2545.999930
5000,2549.716072
5000,2538.801364
5000,2540.554800
5000,2532.655785
5000,2557.581884
5000,2567.207279
5000,2554.448034
5000,2569.126458
6000,2724.102261
6000,2695.677111
6000,2713.913642
6000,2676.748408
6000,2717.686055
6000,2721.300606
6000,2696.079479
6000,2727.557623
6000,2729.829426
6000,2717.725960
7000,2837.119587
7000,2832.441794
7000,2828.566303
7000,2791.062744
7000,2864.578855
7000,2872.381589
7000,2862.889467
7000,2869.211482
7000,2785.788578
7000,2847.254618
8000,2973.946800
8000,3008.704765
8000,3020.167460
8000,2980.181748
8000,3010.701317
8000,3005.009603
8000,2774.697490
8000,2996.442477
8000,3000.374560
8000,3019.545248
9000,2990.534570
9000,2985.090872
9000,2991.078247
9000,2973.693963
9000,2994.575997
9000,2985.605811
9000,2985.472696
9000,2982.770956
9000,2996.278770
9000,2993.664150
10000,3028.131566
10000,2991.504110
10000,3028.967499
10000,3025.196352
10000,3020.904219
10000,3034.830616
10000,3024.649045
10000,3017.213881
10000,3034.981878
10000,3032.888724
11000,2961.023280
11000,2966.424953
11000,2960.420460
11000,2871.601935
11000,2927.997003
11000,2953.621494
11000,2950.554865
11000,2966.463603
11000,2958.451644
11000,2953.924351
12000,2972.138270
12000,3007.669830
12000,3006.678914
12000,3006.159140
12000,2947.844021
12000,2921.214236
12000,3008.474656
12000,3005.641268
12000,3007.367772
12000,2934.109881
13000,2989.755450
13000,3038.272599
13000,2998.084577
13000,3035.308480
13000,2999.834645
13000,3039.360266
13000,3026.955193
13000,3041.392804
13000,3003.503768
13000,2980.040816
14000,3041.424888
14000,3069.546540
14000,3038.458714
14000,3042.935597
14000,3038.838479
14000,3069.170415
14000,3040.259598
14000,3039.191420
14000,3055.364888
14000,3042.132549
15000,3082.352495
15000,3097.728876
15000,3101.803038
15000,3075.582116
15000,3110.189577
15000,3088.199464
15000,3091.969343
15000,3080.878457
15000,3087.361813
15000,3088.322828
16000,3136.268683
16000,3148.997723
16000,3123.531445
16000,3133.456613
16000,3141.960508
16000,3144.666266
16000,3125.173509
16000,3140.502478
16000,3138.887946
16000,3115.398993
17000,3098.325386
17000,3110.925188
17000,3110.762469
17000,3108.407511
17000,3098.783325
17000,3115.439002
17000,3116.136164
17000,3110.764964
17000,3113.332729
17000,3114.930078
18000,3119.622246
18000,3116.551906
18000,3124.735296
18000,3135.897578
18000,3137.620152
18000,3129.717937
18000,3085.924008
18000,3099.688365
18000,3121.086856
18000,3124.284935
19000,3098.849912
19000,3107.425822
19000,3124.346051
19000,3107.223432
19000,3104.905128
19000,3108.284325
19000,3113.769238
19000,3108.903545
19000,3098.211174
19000,3103.086368
20000,3053.452614
20000,3046.449707
20000,3074.146669
20000,3053.593514
20000,3037.941065
20000,3046.544719
20000,3077.368938
20000,3046.943389
20000,3063.286812
20000,3072.982235
