size,gflops
2000,1166.759971
2000,1150.940527
2000,1155.550368
2000,1183.236089
2000,1187.557309
2000,1177.336450
2000,1182.922561
2000,1182.175978
2000,1169.728223
2000,1197.526091
3000,1774.864604
3000,1746.151990
3000,1747.433304
3000,1753.244704
3000,1752.170363
3000,1767.107185
3000,1751.324902
3000,1744.780715
3000,1750.121763
3000,1744.650272
4000,1935.161243
4000,1872.048717
4000,1849.350119
4000,1840.827024
4000,1866.509569
4000,1895.018941
4000,1870.240521
4000,1879.122205
4000,1877.949757
4000,1854.080907
5000,1910.502306
5000,1920.985915
5000,1912.464349
5000,1921.692093
5000,1909.695073
5000,1895.316499
5000,1887.216742
5000,1915.142576
5000,1920.390902
5000,1912.712361
6000,1945.419228
6000,1946.213489
6000,1981.334908
6000,1958.543527
6000,1977.105457
6000,1948.930971
6000,1945.514532
6000,1963.048163
6000,1974.774360
6000,1964.388975
7000,2039.445559
7000,1976.944709
7000,2035.449622
7000,2007.116944
7000,1986.557360
7000,2057.729703
7000,2017.458005
7000,1832.694382
7000,2050.124253
7000,2048.162249
8000,2129.134485
8000,2083.904563
8000,2056.013997
8000,2122.575590
8000,2083.079759
8000,2101.649056
8000,2100.360048
8000,2144.218876
8000,2055.385811
8000,2100.327793
9000,2047.495414
9000,2077.859656
9000,2092.904418
9000,2065.411904
9000,2071.928454
9000,1991.785706
9000,2039.452161
9000,2025.976310
9000,2089.984063
9000,2079.758169
10000,2152.748952
10000,2112.098498
10000,2091.686313
10000,2156.706999
10000,2113.787746
10000,2085.204159
10000,2163.338387
10000,2114.618148
10000,2133.212783
10000,2076.608580
11000,1985.716965
11000,1936.050594
11000,1967.916500
11000,1906.172408
11000,2017.461869
11000,1948.610825
11000,1954.366191
11000,1955.100269
11000,2015.166018
11000,1967.729283
12000,2189.265668
12000,2162.332772
12000,2198.578388
12000,2184.265154
12000,2203.472094
12000,2182.294556
12000,2156.912442
12000,2124.641355
12000,2177.507592
12000,2177.915211
13000,2247.651248
13000,2215.821414
13000,2230.933003
13000,2230.021644
13000,2244.976113
13000,2199.942686
13000,2204.052169
13000,2211.862197
13000,2221.928102
13000,2220.394431
14000,2170.411864
14000,2171.420466
14000,2152.379209
14000,2196.124014
14000,2189.080650
14000,2193.841808
14000,2166.850447
14000,2202.485201
14000,2166.805192
14000,2116.339785
15000,2400.232121
15000,2276.508685
15000,2350.337443
15000,2310.797822
15000,2320.613641
15000,2349.839260
15000,2360.927277
15000,2275.377261
15000,2334.966658
15000,2368.064197
16000,2313.074662
16000,2287.706107
16000,2209.550846
16000,2210.131303
16000,2278.466606
16000,2278.609291
16000,2315.988781
16000,2240.892617
16000,2255.382307
16000,2283.390177
17000,2331.147761
17000,2276.507386
17000,2286.601165
17000,2290.494743
17000,2293.677397
17000,2201.367275
17000,2339.441035
17000,2341.134768
17000,2358.785385
17000,2341.288845
18000,2488.668149
18000,2481.729300
18000,2406.281285
18000,2498.122047
18000,2514.499413
18000,2494.520687
18000,2502.857184
18000,2445.577208
18000,2364.523594
18000,2573.362961
19000,2362.685997
19000,2397.787265
19000,2341.095097
19000,2429.880890
19000,2365.789501
19000,2322.056683
19000,2418.879031
19000,2414.015206
19000,2393.718630
19000,2405.807003
20000,2570.035943
20000,2505.432760
20000,2560.831422
20000,2545.264133
20000,2602.530674
20000,2481.111003
20000,2486.815805
20000,2512.877005
20000,2523.967970
20000,2481.511178
