size,gflops
2000,233.637855
2000,227.054020
2000,231.086224
2000,217.017400
2000,214.629930
2000,215.607347
2000,221.361461
2000,229.949794
2000,224.688248
2000,225.962453
3000,289.508751
3000,197.860145
3000,330.923769
3000,246.437217
3000,316.090007
3000,279.839375
3000,291.504980
3000,278.851508
3000,263.460924
3000,380.148876
4000,299.116358
4000,430.491553
4000,390.787638
4000,390.978433
4000,385.939911
4000,310.364046
4000,366.817814
4000,390.764557
4000,364.367736
4000,305.683703
5000,416.965630
5000,356.619653
5000,378.832887
5000,425.704644
5000,387.084123
5000,412.000556
5000,403.475446
5000,397.922795
5000,405.941333
5000,349.110981
6000,453.453982
6000,412.831679
6000,466.086232
6000,434.788840
6000,470.362707
6000,450.998846
6000,451.936168
6000,478.356968
6000,471.140934
6000,486.510184
7000,480.707142
7000,493.142737
7000,489.928731
7000,494.943871
7000,497.701928
7000,492.634800
7000,491.625699
7000,496.019021
7000,494.178779
7000,490.980598
8000,494.300393
8000,501.241490
8000,497.465707
8000,502.948994
8000,501.116728
8000,501.908568
8000,502.642122
8000,499.444348
8000,502.067583
8000,498.725016
9000,512.799884
9000,518.209006
9000,521.674612
9000,520.495568
9000,516.720977
9000,521.231991
9000,518.348424
9000,518.476070
9000,519.955608
9000,518.957440
10000,525.991464
10000,526.594313
10000,526.397684
10000,526.178458
10000,525.759615
10000,525.360863
10000,525.411967
10000,520.767219
10000,522.393667
10000,526.230452
11000,575.826265
11000,573.095281
11000,573.656715
11000,570.647350
11000,573.307867
11000,572.284038
11000,572.981976
11000,575.745905
11000,574.235785
11000,575.918800
12000,616.783347
12000,618.881746
12000,616.527065
12000,611.841456
12000,613.069111
12000,618.209264
12000,616.764506
12000,617.908439
12000,619.690559
12000,618.178850
13000,659.424356
13000,660.498863
13000,659.319189
13000,659.301493
13000,662.781279
13000,663.770786
13000,661.251687
13000,592.120051
13000,662.435203
13000,664.228278
14000,551.538689
14000,566.227393
14000,595.356235
14000,555.856060
14000,557.923444
14000,558.453359
14000,565.509310
14000,556.381194
14000,595.460967
14000,596.574557
15000,550.897467
15000,552.060405
15000,549.743166
15000,549.057050
15000,549.720139
15000,549.925400
15000,551.253687
15000,549.061724
15000,549.198130
15000,550.987547
16000,886.651465
