size,gflops
2000,546.948934
2000,531.247249
2000,533.207941
2000,523.239896
2000,538.856214
2000,562.716573
2000,551.641753
2000,516.551888
2000,492.071226
2000,535.919700
3000,940.236333
3000,908.335981
3000,878.102523
3000,906.625331
3000,881.202224
3000,887.993163
3000,877.384109
3000,894.667558
3000,864.417742
3000,903.877181
4000,1215.374099
4000,1240.858183
4000,1240.777690
4000,1215.913573
4000,1309.105754
4000,1314.732579
4000,1200.871029
4000,1129.152767
4000,1227.155164
4000,1195.702909
5000,1578.179151
5000,1575.427048
5000,1594.239973
5000,1655.017824
5000,1620.733911
5000,1616.929432
5000,1690.376039
5000,1487.006855
5000,1519.408271
5000,1537.812695
6000,1709.537082
6000,1205.911519
6000,1845.673143
6000,1715.890889
6000,1880.912261
6000,1933.673045
6000,1932.589610
6000,1822.410547
6000,1788.855023
6000,1894.333465
7000,1755.407205
7000,2044.441454
7000,2015.056248
7000,2143.866057
7000,1995.712616
7000,1944.578867
7000,2230.522040
7000,2196.134907
7000,1993.183440
7000,2087.255533
8000,1942.013999
8000,1837.487406
8000,1915.881681
8000,1920.620381
8000,1967.623070
8000,1906.012108
8000,1897.473654
8000,2040.051169
8000,2076.623211
8000,1853.457521
9000,1713.102067
9000,1876.684677
9000,1887.117583
9000,1881.354886
9000,1715.865988
9000,1897.211165
9000,1807.193845
9000,1959.929497
9000,1924.616766
9000,1839.765031
10000,1557.034142
10000,1649.793861
10000,1683.530237
10000,1627.166985
10000,1622.470297
10000,1678.324641
10000,1548.712171
10000,1546.989452
10000,1616.008651
10000,1582.131216
11000,1339.770628
11000,1337.693260
11000,1326.803431
11000,1312.530963
11000,1345.619681
11000,1286.834565
11000,1297.078802
11000,1295.721090
11000,1300.206029
11000,1334.024710
12000,1335.657222
12000,1337.708652
12000,1340.719094
12000,1326.507821
12000,1344.551914
12000,1322.036053
12000,1324.368276
12000,1340.545399
12000,1316.990631
12000,1314.599977
13000,1311.293589
13000,1308.065634
13000,1313.525253
13000,1313.930036
13000,1309.613982
13000,1322.805032
13000,1319.126575
13000,1331.119338
13000,1307.840484
13000,1319.474153
14000,1340.291147
14000,1355.311435
14000,1346.798747
14000,1541.839753
14000,1357.824905
14000,1347.514701
14000,1362.202316
14000,1546.194152
14000,1365.404612
14000,1537.800070
15000,1435.025364
15000,1439.790891
15000,1444.360809
15000,1891.832148
15000,1443.065776
15000,1901.971659
15000,1441.710111
15000,1443.380659
15000,1444.550338
15000,1438.814205
16000,1349.375123
16000,1348.296852
