size,gflops
2000,298.528566
2000,295.458082
2000,295.667494
2000,293.165758
2000,293.746738
2000,288.139219
2000,283.000178
2000,294.749620
2000,290.338117
2000,287.777848
3000,304.817908
3000,294.809232
3000,296.644654
3000,288.021830
3000,291.687504
3000,284.793284
3000,284.508694
3000,276.355160
3000,278.739702
3000,305.135878
4000,358.428809
4000,361.301158
4000,342.577493
4000,356.339745
4000,366.370154
4000,337.518400
4000,361.506704
4000,364.383085
4000,359.209865
4000,354.642485
5000,452.835130
5000,453.862077
5000,454.914277
5000,452.929186
5000,455.718127
5000,452.859835
5000,451.489173
5000,447.212493
5000,425.515784
5000,440.158920
6000,469.440200
6000,477.035865
6000,480.462605
6000,483.033868
6000,486.929642
6000,486.309814
6000,478.681258
6000,488.796646
6000,480.523807
6000,482.500580
7000,483.226246
7000,487.511281
7000,484.444883
7000,485.793228
7000,484.324366
7000,484.755364
7000,488.293899
7000,481.163739
7000,489.051569
7000,481.694326
8000,591.307566
8000,531.245511
8000,527.511024
8000,522.892041
8000,527.412527
8000,529.807079
8000,529.816244
8000,527.004332
8000,525.281258
8000,531.224342
9000,631.474826
9000,572.113201
9000,580.206044
9000,663.868861
9000,578.780234
9000,649.382812
9000,640.586349
9000,552.011938
9000,581.374693
9000,597.103673
10000,626.086093
10000,636.500305
10000,666.285094
10000,644.358211
10000,618.258146
10000,637.531365
10000,645.330312
10000,831.106375
10000,665.006927
10000,613.168739
11000,729.258717
11000,683.975000
11000,713.108121
11000,743.262584
11000,716.207563
11000,692.341759
11000,727.908871
11000,717.852360
11000,735.938611
11000,731.699203
12000,804.790906
12000,752.760131
12000,744.453258
12000,760.748561
12000,756.602253
12000,802.150260
12000,781.180023
12000,789.007370
12000,787.013067
12000,761.251769
13000,852.030211
13000,680.761847
13000,853.590548
13000,815.939687
13000,671.318526
13000,671.457643
13000,861.480162
13000,850.372068
13000,672.400680
13000,671.880794
14000,669.342188
14000,687.647011
14000,685.841682
14000,686.836294
14000,665.208181
14000,690.656665
14000,688.288720
14000,678.992006
14000,684.745425
14000,683.960917
15000,711.634539
15000,732.162305
15000,722.592174
15000,718.480780
15000,719.073794
15000,733.875421
15000,710.468819
15000,720.044703
15000,994.628786
15000,707.084778
16000,1077.492945
