size,gflops
2000,521.674414
2000,488.048873
2000,490.652803
2000,505.746113
2000,488.192083
2000,494.559826
2000,494.525204
2000,495.526572
2000,484.403509
2000,496.937961
3000,544.596223
3000,525.976837
3000,533.454761
3000,529.291647
3000,532.242428
3000,530.003706
3000,513.788548
3000,525.332338
3000,509.761975
3000,529.601663
4000,767.597631
4000,778.099041
4000,783.374679
4000,767.083475
4000,775.405039
4000,774.334982
4000,742.983049
4000,743.298574
4000,768.057160
4000,773.667478
5000,805.236412
5000,781.043146
5000,788.640282
5000,806.951327
5000,806.068034
5000,819.461857
5000,780.671656
5000,778.024641
5000,800.410225
5000,768.587972
6000,939.968828
6000,935.261105
6000,968.163907
6000,968.176038
6000,974.073186
6000,975.874430
6000,909.985868
6000,932.455366
6000,781.679713
6000,947.370841
7000,1051.742457
7000,1073.338719
7000,1081.680679
7000,1092.281011
7000,1101.901834
7000,1109.656891
7000,1103.069570
7000,1100.016836
7000,1111.027944
7000,1101.383796
8000,1223.823712
8000,1209.156310
8000,1205.971285
8000,1216.092051
8000,1226.942589
8000,1018.457861
8000,1189.624992
8000,1238.558208
8000,1196.767098
8000,1231.411544
9000,1149.913310
9000,1148.437303
9000,1172.500206
9000,1157.125722
9000,1161.189805
9000,1171.941793
9000,1171.689375
9000,1158.873748
9000,1154.379203
9000,1136.382860
10000,1236.891357
10000,1215.263291
10000,1215.054989
10000,1229.373255
10000,1228.565418
10000,1218.625007
10000,1228.824389
10000,1229.239879
10000,1043.417649
10000,1200.604287
11000,1124.953879
11000,1009.570473
11000,1165.832183
11000,1042.580750
11000,1060.355885
11000,1060.626676
11000,1043.776402
11000,1142.077621
11000,1199.993613
11000,1093.044135
12000,1389.598228
12000,1375.576818
12000,1309.944756
12000,1339.464551
12000,1385.981896
12000,1393.140386
12000,1382.367333
12000,1376.094250
12000,1366.945657
12000,1181.585113
13000,1272.264398
13000,1333.366567
13000,1491.547899
13000,1284.283312
13000,1458.874741
13000,1468.355807
13000,1513.729834
13000,1250.922692
13000,1513.083375
13000,1299.476229
14000,1600.654268
14000,1549.881500
14000,1599.033736
14000,1624.517898
14000,1586.827395
14000,1585.432804
14000,1581.554043
14000,1498.253911
14000,1530.155124
14000,1562.339027
15000,1579.404571
15000,1707.277116
15000,1686.623787
15000,1461.756142
15000,2133.454597
15000,1475.982917
15000,1725.335734
15000,1472.195903
15000,1671.006673
15000,1743.554850
16000,1730.123300
16000,1538.694461
